response,ArrivalDateYear,ArrivalDateMonth,StaysInWeekendNights,StaysInWeekNights,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
1,2016,August,1,2,Online TA,TA/TO,0,0,0,H,1,240,NA,0,Transient,236.67,0,2
1,2016,January,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,127,NA,0,Transient,26.5,0,0
1,2016,October,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,71,1,1
1,2016,October,2,1,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,93.5,1,0
1,2016,August,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,165,0,1
1,2016,August,0,0,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,0,0,1
1,2016,May,2,2,Offline TA/TO,TA/TO,0,0,0,D,0,95,NA,0,Transient,54.2,0,1
1,2016,June,2,5,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,55.44,0,1
1,2015,September,1,4,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,92,1,2
1,2016,August,3,10,Online TA,TA/TO,0,0,0,A,0,NA,NA,0,Transient,198.23,0,1
1,2015,October,0,2,Offline TA/TO,TA/TO,0,0,0,A,1,208,NA,0,Transient-Party,70,0,0
1,2016,January,1,1,Online TA,TA/TO,0,0,0,E,0,NA,NA,0,Transient,51,0,1
2,2015,November,2,6,Corporate,Corporate,0,0,0,A,0,281,NA,0,Transient-Party,40,0,0
1,2016,March,0,4,Offline TA/TO,TA/TO,0,0,0,A,3,196,NA,0,Transient,25,0,0
2,2015,October,2,5,Groups,TA/TO,0,1,0,A,0,142,NA,0,Transient-Party,63.4,0,0
1,2015,October,0,2,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,93,1,0
1,2016,July,4,10,Offline TA/TO,TA/TO,0,0,0,E,0,75,NA,0,Contract,105.4,0,0
2,2016,June,1,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,85.5,0,0
2,2016,July,3,5,Direct,Direct,0,0,0,A,1,NA,NA,0,Transient,160,0,2
2,2016,August,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,189,0,0
1,2016,August,1,3,Online TA,TA/TO,0,0,0,D,0,241,NA,0,Transient,169.08,0,1
1,2016,May,1,5,Groups,Direct,0,0,0,A,1,NA,223,0,Transient-Party,66,0,0
1,2016,August,1,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,258,0,1
1,2016,September,0,2,Direct,Corporate,0,0,4,F,1,NA,154,0,Transient,129.3,1,0
1,2016,August,1,3,Direct,Direct,0,0,0,H,1,250,NA,0,Transient,357,1,0
1,2016,August,3,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,201,0,0
1,2016,July,4,10,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,85.05,0,2
1,2016,September,2,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,119,0,1
1,2015,October,0,3,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient,36,0,0
2,2015,October,1,0,Corporate,Corporate,0,0,0,A,0,NA,110,0,Transient,56.95,0,0
1,2015,November,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,36,0,1
1,2016,July,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient-Party,184,0,0
1,2015,December,0,1,Direct,Direct,0,0,0,E,0,NA,NA,0,Transient,38,0,0
1,2016,November,1,1,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,48,0,1
2,2016,November,0,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,73.8,0,1
1,2016,May,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,81,1,1
2,2016,April,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2016,March,4,10,Offline TA/TO,TA/TO,0,0,0,A,0,171,NA,0,Transient,54.25,0,0
2,2016,April,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,86,0,0
1,2015,December,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,115,NA,0,Transient,33.3,0,0
2,2016,May,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,39.69,0,2
1,2016,March,0,1,Direct,Direct,0,0,0,A,2,NA,NA,0,Transient,57,0,0
1,2015,August,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,137.7,1,1
2,2015,October,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,56,0,1
2,2016,May,0,2,Groups,TA/TO,0,1,0,A,0,249,NA,0,Transient-Party,67,0,0
1,2016,April,1,1,Corporate,Corporate,0,0,1,A,0,NA,154,0,Transient,39,0,0
1,2016,September,4,10,Offline TA/TO,TA/TO,0,0,0,D,1,171,NA,0,Transient,98.4,0,1
1,2015,September,1,0,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,109,0,0
2,2015,October,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,47,0,2
1,2016,February,2,6,Offline TA/TO,TA/TO,0,0,0,E,1,314,NA,0,Transient,72.55,0,0
1,2016,June,0,2,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,145,0,0
1,2016,August,2,5,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,182,1,2
2,2015,July,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient,90.95,0,0
1,2016,January,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,56,0,1
1,2016,April,3,5,Offline TA/TO,TA/TO,0,0,0,A,0,147,NA,0,Transient-Party,66.42,0,1
2,2016,September,0,3,Groups,TA/TO,0,0,0,D,0,1,NA,0,Transient,89,0,0
1,2016,June,2,4,Offline TA/TO,TA/TO,0,0,0,D,0,156,NA,0,Transient-Party,91.8,0,0
1,2016,July,0,1,Offline TA/TO,TA/TO,0,0,0,A,2,146,NA,0,Transient,65,0,0
1,2016,April,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2016,May,2,5,Online TA,TA/TO,0,0,0,D,2,314,NA,0,Transient,130.29,0,0
2,2015,November,1,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,32.4,0,2
1,2016,March,0,0,Online TA,TA/TO,1,0,0,A,0,240,NA,0,Transient,0,0,0
1,2016,April,0,4,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,83,0,0
1,2016,October,0,2,Corporate,Corporate,0,0,0,A,2,NA,317,0,Transient-Party,63,0,0
2,2015,October,4,8,Groups,TA/TO,0,0,0,A,0,15,NA,0,Transient,44.5,0,0
1,2015,November,0,1,Corporate,Corporate,0,0,0,A,2,NA,342,0,Transient-Party,44,0,0
1,2016,April,0,2,Corporate,Corporate,1,0,1,A,0,NA,94,0,Transient,39,0,0
1,2015,August,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,196,NA,0,Transient,132.87,0,0
2,2016,July,0,2,Online TA,TA/TO,0,0,0,A,0,196,NA,0,Transient,189.6,0,0
2,2016,February,1,2,Groups,TA/TO,0,1,0,A,0,134,NA,0,Transient,79,0,0
1,2016,February,2,1,Offline TA/TO,TA/TO,0,0,0,A,0,156,NA,0,Transient,34.4,0,1
1,2015,September,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,79,1,1
1,2016,December,2,3,Direct,Direct,0,0,0,E,2,250,NA,0,Transient-Party,64.22,0,2
1,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,1
1,2016,November,2,6,Groups,TA/TO,0,0,0,A,4,411,NA,0,Transient,50,0,0
2,2016,August,1,4,Offline TA/TO,TA/TO,0,0,0,E,0,75,NA,0,Transient,143.1,0,1
2,2016,August,0,2,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,259,0,0
2,2016,June,0,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,72,0,0
2,2016,June,0,5,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,72,0,0
1,2015,July,1,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,73.8,0,1
1,2016,March,1,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,80.6,1,1
2,2015,July,0,3,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,146.67,0,2
2,2016,June,2,2,Groups,TA/TO,0,0,0,A,0,NA,NA,0,Transient,110,0,0
1,2015,July,0,1,Direct,Direct,0,0,0,H,0,NA,NA,0,Transient,147,0,0
1,2015,December,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,124,1,0
1,2016,March,1,4,Groups,Direct,0,0,0,A,2,NA,223,0,Transient-Party,83.5,0,0
2,2015,September,0,3,Groups,Corporate,0,1,0,A,0,NA,223,0,Transient,40.05,0,0
1,2016,April,1,1,Offline TA/TO,TA/TO,0,0,0,D,0,6,NA,0,Transient,64,1,3
1,2015,December,0,4,Groups,TA/TO,0,0,0,A,0,308,NA,122,Transient-Party,136.5,0,0
1,2015,December,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,330,NA,0,Transient,25,0,1
1,2015,September,2,6,Direct,Direct,0,0,0,G,1,NA,NA,0,Transient,130.5,0,1
2,2016,December,1,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,72,0,1
1,2015,September,2,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,65,1,1
1,2015,November,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,40,0,2
1,2016,October,2,0,Groups,Corporate,0,0,0,A,0,NA,454,0,Transient-Party,48,0,0
1,2016,August,2,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,212.67,0,1
1,2016,May,2,0,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,68,1,0
1,2016,October,2,6,Groups,Direct,0,0,0,A,3,273,NA,0,Transient-Party,2,0,0
1,2016,May,1,3,Online TA,TA/TO,0,0,0,E,0,314,NA,0,Transient,75.9,0,1
1,2016,June,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,146.33,0,0
1,2016,July,1,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,191,0,0
1,2016,November,0,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,37.8,0,0
1,2015,October,1,4,Groups,Direct,0,0,0,A,0,NA,NA,47,Transient-Party,76.8,0,0
1,2016,July,2,5,Direct,Direct,0,0,0,A,1,250,NA,0,Transient,161.5,0,1
1,2016,August,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,189,0,0
1,2015,December,0,3,Groups,Direct,0,0,0,A,1,NA,NA,0,Transient-Party,155.67,0,0
2,2016,May,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,97,0,0
1,2015,August,1,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,176.67,0,1
1,2015,October,1,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,55,0,2
1,2015,August,1,5,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,147.07,0,1
1,2016,May,2,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,55.28,0,2
1,2016,February,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,51.33,0,2
1,2016,August,2,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,172,1,1
1,2016,October,4,7,Direct,Direct,0,0,0,E,2,250,NA,0,Transient-Party,79.4,0,0
1,2015,September,0,1,Corporate,Direct,0,0,0,A,0,NA,59,0,Transient,134,0,0
1,2015,September,1,4,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,179.4,0,2
1,2015,December,0,1,Corporate,Corporate,0,0,0,A,0,NA,144,0,Transient,25,0,0
1,2016,December,1,2,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,84,0,0
2,2015,September,1,5,Groups,Corporate,0,25,0,A,0,252,NA,0,Transient,49.95,0,0
2,2016,April,2,5,Groups,TA/TO,0,0,0,D,0,71,NA,0,Transient,58,0,0
1,2016,November,1,0,Offline TA/TO,TA/TO,0,0,0,E,0,360,NA,0,Transient,53.46,0,0
2,2015,October,1,1,Offline TA/TO,TA/TO,0,1,0,A,0,208,NA,0,Transient,34,0,0
1,2015,September,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,8,NA,0,Contract,53.1,0,1
2,2016,September,0,1,Direct,Direct,0,0,0,E,0,NA,NA,0,Transient,8,0,0
1,2016,May,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Contract,41.6,0,0
2,2015,November,0,4,Corporate,Corporate,0,0,0,A,0,281,NA,0,Transient-Party,40,0,0
1,2016,December,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,48,0,1
1,2016,November,1,1,Online TA,TA/TO,0,0,0,G,1,240,NA,0,Transient,94,1,1
2,2016,March,0,2,Complementary,Direct,0,0,0,A,0,NA,NA,0,Transient,0,0,0
2,2015,September,0,3,Offline TA/TO,TA/TO,0,19,0,A,0,NA,NA,0,Transient,36,0,0
1,2016,February,2,7,Offline TA/TO,TA/TO,0,0,0,A,0,115,NA,0,Transient,26.1,0,1
2,2015,August,1,5,Online TA,TA/TO,0,1,0,A,0,240,NA,0,Transient,134,0,1
1,2015,August,2,1,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,132.33,0,1
1,2016,June,0,3,Offline TA/TO,TA/TO,0,0,0,E,0,6,NA,0,Transient,81,0,2
1,2015,July,4,10,Offline TA/TO,TA/TO,0,0,0,E,0,40,NA,0,Contract,134.73,0,0
1,2016,February,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,65,0,1
1,2016,April,2,7,Offline TA/TO,TA/TO,0,0,0,A,0,75,NA,0,Transient,64.78,0,0
1,2016,June,4,10,Offline TA/TO,TA/TO,0,0,0,A,0,143,NA,0,Transient,59.8,0,0
2,2016,July,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,175,NA,0,Transient,81.98,0,0
1,2016,February,0,1,Direct,Direct,1,0,0,A,0,NA,NA,0,Transient,39,0,0
1,2016,September,0,1,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,154,0,1
1,2016,May,0,1,Online TA,TA/TO,0,0,0,D,0,242,NA,0,Transient,71.7,1,1
1,2016,May,1,4,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,95.6,1,1
2,2015,October,1,2,Groups,TA/TO,0,1,0,A,0,68,NA,0,Transient,81,0,0
1,2016,December,4,6,Offline TA/TO,TA/TO,0,0,0,D,0,436,NA,0,Transient,61.2,0,0
1,2016,January,0,1,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,86,0,0
1,2015,September,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,91,0,2
1,2015,November,2,4,Offline TA/TO,TA/TO,0,0,0,A,0,8,NA,0,Transient,32.1,1,0
1,2015,October,2,5,Groups,Direct,0,0,0,E,0,273,NA,0,Transient-Party,77.29,0,0
2,2016,November,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,37.8,0,0
1,2015,October,0,2,Direct,Direct,0,0,0,F,1,250,NA,0,Transient,75,0,1
2,2016,October,2,1,Groups,Corporate,0,0,0,A,1,NA,NA,0,Transient-Party,48,0,0
1,2016,March,1,4,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,75,0,0
1,2016,August,0,2,Direct,Direct,0,0,0,A,2,NA,NA,0,Transient,201,0,0
1,2016,November,0,1,Corporate,Corporate,1,0,3,A,0,NA,331,0,Transient,48,0,0
1,2016,March,0,1,Direct,Direct,1,0,2,A,3,NA,NA,0,Transient,40,1,1
1,2015,August,2,3,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,176.8,1,1
2,2016,August,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient-Party,124.2,0,0
1,2016,January,0,2,Online TA,TA/TO,1,0,0,A,0,240,NA,0,Transient,48,0,1
1,2015,October,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Contract,36,0,1
1,2016,July,2,3,Online TA,TA/TO,0,0,0,F,0,241,NA,0,Transient,175.56,0,1
1,2016,September,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,143,NA,0,Transient,59.8,0,0
2,2015,September,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Group,0,0,0
1,2016,April,1,3,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,74.8,0,0
1,2016,October,1,3,Groups,Corporate,0,0,0,A,0,NA,NA,0,Transient-Party,55,0,0
1,2016,March,0,2,Corporate,Corporate,0,0,0,A,3,NA,113,0,Transient,30,0,0
1,2016,March,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
2,2016,October,2,5,Online TA,TA/TO,0,0,0,D,6,240,NA,0,Transient-Party,55.25,0,1
1,2016,September,2,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,96.83,0,0
2,2016,June,1,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,72,0,0
1,2016,April,0,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,73,0,0
1,2016,February,0,1,Direct,Direct,0,0,0,F,1,NA,NA,0,Transient,58,0,0
1,2015,September,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,110.7,0,2
1,2015,September,1,5,Online TA,TA/TO,0,0,0,A,0,147,NA,0,Transient,64.29,0,0
1,2016,April,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,40,NA,0,Transient,58.95,0,0
1,2015,July,0,0,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,0,1,0
2,2016,September,3,6,Groups,TA/TO,0,0,0,A,0,15,NA,0,Transient,80,0,0
1,2015,July,2,7,Direct,Direct,0,0,0,E,2,NA,NA,0,Transient,160,1,3
1,2016,December,0,2,Complementary,Direct,0,0,0,A,0,NA,NA,0,Transient,6,1,0
1,2016,November,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient-Party,63,1,1
1,2015,July,2,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,92,0,0
1,2016,February,2,3,Direct,Direct,1,0,1,A,1,NA,NA,0,Transient-Party,43.8,1,0
1,2016,May,1,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,80,0,1
1,2016,January,0,1,Corporate,Corporate,0,0,0,A,0,NA,372,0,Transient,39,1,0
1,2016,February,0,1,Direct,Direct,1,0,1,A,0,NA,NA,0,Transient,4,0,0
1,2015,December,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,61,1,1
1,2015,October,1,4,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,0,0,0
1,2016,March,2,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient-Party,60.5,0,0
2,2015,September,1,5,Groups,Corporate,0,25,0,A,0,252,NA,0,Transient,49.95,0,0
1,2015,November,1,0,Corporate,Corporate,1,0,1,A,1,NA,20,0,Transient-Party,13,0,0
2,2016,August,2,6,Offline TA/TO,TA/TO,0,0,0,D,0,181,NA,0,Transient,128,0,0
2,2015,December,2,1,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient-Party,68,0,0
2,2015,December,2,6,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,66.6,0,0
1,2016,March,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,84,1,0
1,2015,August,0,4,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,207,0,0
1,2016,September,2,3,Online TA,TA/TO,0,0,0,A,0,348,NA,0,Transient,29,0,0
1,2016,December,2,3,Online TA,TA/TO,0,0,0,D,2,339,NA,0,Transient,86.24,0,1
1,2016,October,2,5,Online TA,TA/TO,0,0,0,E,1,314,NA,0,Transient,74.49,0,0
1,2016,December,2,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,43,0,1
2,2016,October,2,0,Groups,Corporate,0,0,0,A,0,NA,NA,0,Transient-Party,55,0,0
2,2015,July,2,4,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,126.67,0,0
2,2016,February,2,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,52.2,0,1
1,2015,October,1,3,Groups,Corporate,0,0,0,A,1,NA,223,0,Transient-Party,43,1,0
2,2016,May,0,2,Groups,TA/TO,0,0,0,A,0,248,NA,0,Transient-Party,46,0,0
1,2016,January,0,1,Corporate,Corporate,0,0,0,A,0,NA,286,0,Transient,30,0,0
2,2016,August,0,3,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,281,0,0
1,2015,August,1,1,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,241,0,0
1,2016,November,0,2,Online TA,TA/TO,1,0,1,D,0,240,NA,0,Transient,56,0,2
1,2016,November,0,2,Direct,TA/TO,0,0,0,A,0,NA,NA,0,Transient,73.8,0,2
1,2015,July,2,5,Direct,Direct,0,0,0,G,0,250,NA,0,Transient,195,0,0
1,2016,February,0,1,Offline TA/TO,TA/TO,0,0,0,A,1,330,NA,0,Transient-Party,43,0,0
1,2016,June,0,5,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,68,0,0
1,2016,April,1,1,Groups,TA/TO,0,0,0,A,1,298,NA,0,Transient-Party,54.5,0,0
1,2016,May,1,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,75,0,1
1,2015,October,0,2,Offline TA/TO,TA/TO,0,0,0,A,1,208,NA,0,Transient-Party,70,0,0
2,2016,August,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,179,0,0
