candidate_id,age,group,sick_days_before,sick_days_after
80,63,h40_fw,1,1
81,48,h32,0,0
82,44,h40_sw,18,18
83,65,h40_fw,9,9
84,53,h40_fw,3,2
85,37,h40_sw,11,10
86,63,h40_fw,13,14
87,36,h32,8,7
88,47,h40_sw,6,3
89,31,h40_sw,14,12
90,53,h32,1,3
91,41,h32,1,1
92,53,h40_fw,19,18
93,33,h40_fw,23,25
94,30,h40_fw,6,5
95,45,h40_sw,3,2
96,65,h40_sw,0,0
97,58,h40_sw,16,19
98,60,h40_fw,3,2
99,37,h40_sw,2,0
100,44,h40_fw,5,6
101,34,h32,3,0
102,35,h32,8,4
103,41,h40_fw,1,1
104,62,h40_sw,6,5
105,36,h40_sw,4,4
106,44,h40_sw,11,11
107,60,h32,3,0
108,36,h32,12,8
109,40,h40_fw,8,7
110,62,h32,2,1
111,52,h32,6,3
112,30,h40_fw,56,53
113,44,h40_fw,4,7
114,41,h40_sw,2,2
115,62,h32,2,0
116,27,h40_sw,44,45
117,52,h32,1,0
118,58,h40_fw,1,1
119,36,h40_sw,0,1
120,60,h40_sw,11,13
121,57,h40_fw,1,0
122,53,h40_sw,7,8
123,30,h32,11,9
124,45,h40_fw,10,9
125,48,h40_sw,8,6
126,33,h40_sw,20,18
127,34,h32,4,2
128,47,h32,13,11
129,49,h40_fw,2,3
130,52,h32,16,15
131,45,h40_sw,2,0
132,41,h32,4,3
133,65,h32,8,4
134,49,h32,4,1
135,36,h32,17,17
136,41,h40_fw,0,0
137,28,h32,4,5
138,41,h40_fw,0,0
139,27,h32,8,7
140,45,h40_fw,7,8
141,33,h40_fw,8,8
142,35,h40_fw,3,2
143,47,h32,21,21
144,65,h40_fw,15,15
145,30,h40_sw,2,3
146,53,h40_sw,1,0
147,48,h32,43,42
148,36,h40_fw,6,5
149,57,h32,8,3
150,38,h40_fw,4,2
151,27,h40_fw,9,7
152,52,h40_sw,11,11
153,27,h40_sw,11,12
154,60,h32,11,10
155,60,h32,1,0
156,47,h40_sw,3,1
157,57,h40_fw,12,12
158,42,h40_sw,1,0
159,35,h32,0,1
160,32,h40_fw,2,5
161,65,h40_fw,7,7
162,33,h40_fw,1,0
163,65,h40_sw,5,6
164,36,h32,8,5
165,53,h40_sw,5,4
166,55,h40_sw,5,4
167,31,h40_sw,44,42
168,27,h32,8,7
169,63,h32,4,4
170,32,h40_sw,12,11
171,63,h40_fw,0,1
172,65,h40_fw,5,4
173,41,h32,1,0
174,27,h40_fw,8,9
175,63,h32,26,25
176,36,h40_sw,19,21
177,48,h32,2,0
178,65,h40_fw,19,18
179,36,h40_sw,11,12
180,34,h40_fw,2,2
181,40,h40_sw,20,20
182,57,h40_fw,8,10
183,53,h40_sw,18,18
184,39,h40_fw,8,8
185,41,h40_sw,10,10
186,65,h32,4,2
187,32,h32,1,0
188,41,h40_fw,10,11
189,37,h40_sw,21,19
190,48,h40_sw,2,2
191,28,h32,6,2
192,38,h40_sw,5,7
193,49,h32,9,6
194,65,h32,9,9
195,38,h40_fw,43,44
196,57,h40_sw,30,29
197,37,h40_sw,1,0
198,27,h40_sw,1,0
199,52,h40_sw,15,18
200,54,h40_sw,2,2
201,56,h40_sw,0,0
202,56,h40_fw,8,9
203,37,h40_fw,36,35
204,26,h32,7,0
205,48,h32,2,0
206,62,h32,1,0
207,60,h40_fw,51,52
208,63,h40_fw,3,5
209,28,h40_sw,6,6
210,58,h40_sw,7,7
211,30,h40_sw,1,0
212,53,h32,5,1
213,53,h40_sw,7,6
214,60,h40_fw,17,16
215,37,h32,10,7
216,39,h32,77,74
217,37,h40_sw,1,1
218,49,h32,2,1
219,37,h40_fw,14,13
220,36,h32,8,8
221,65,h32,13,14
222,58,h40_sw,21,18
223,41,h40_sw,8,9
224,53,h32,3,1
225,49,h40_sw,34,34
226,28,h32,8,3
227,25,h32,1,1
228,38,h40_sw,0,0
229,32,h40_sw,7,7
230,27,h32,1,0
231,63,h40_fw,11,12
232,46,h40_sw,21,19
233,65,h32,5,2
234,46,h40_sw,9,10
235,25,h40_sw,4,4
236,53,h40_fw,19,20
237,48,h32,0,0
238,62,h32,8,7
239,36,h40_sw,7,8
240,43,h40_fw,20,19
241,62,h40_fw,4,2
242,50,h40_fw,6,6
243,36,h32,21,18
244,37,h32,3,0
245,45,h40_sw,7,6
246,41,h32,0,0
247,65,h32,23,25
248,56,h40_fw,23,24
249,58,h32,0,0
250,27,h40_fw,15,15
251,55,h40_sw,5,5
252,49,h40_fw,1,1
253,58,h32,0,1
254,53,h40_fw,0,0
255,65,h40_fw,5,6
256,30,h40_fw,12,13
257,55,h40_fw,14,14
258,62,h40_fw,25,25
259,28,h32,1,2
260,35,h40_fw,0,0
261,27,h32,6,4
262,65,h40_fw,16,18
263,31,h40_sw,10,11
264,41,h40_sw,10,11
265,28,h32,11,9
266,52,h40_sw,13,14
267,46,h40_sw,8,7
268,40,h40_sw,8,7
269,27,h40_sw,8,7
270,40,h40_fw,12,10
271,44,h32,13,12
272,65,h40_sw,3,3
273,63,h40_fw,17,17
274,60,h40_sw,3,3
275,62,h40_fw,12,10
276,37,h40_sw,11,9
277,30,h40_fw,14,16
278,35,h40_fw,25,26
279,46,h40_fw,1,3
280,45,h40_fw,3,4
281,31,h40_sw,9,7
282,58,h40_fw,4,5
283,43,h40_sw,2,5
284,58,h40_fw,5,4
285,39,h40_sw,5,5
286,56,h40_fw,0,1
287,53,h40_fw,10,9
288,39,h32,14,13
289,28,h40_sw,0,0
290,63,h32,10,7
291,36,h40_fw,4,4
292,59,h40_fw,6,3
293,49,h40_fw,6,8
294,33,h40_sw,0,0
295,35,h40_sw,5,2
296,32,h40_sw,10,9
297,29,h40_sw,1,1
298,31,h40_fw,5,5
299,44,h32,12,9
300,60,h40_fw,9,10
301,65,h40_sw,15,15
302,63,h40_sw,5,3
303,27,h40_sw,22,21
304,37,h40_sw,50,48
305,60,h40_sw,4,0
306,48,h32,21,19
307,25,h40_sw,2,3
308,39,h32,3,1
309,57,h32,4,2
310,24,h32,1,0
311,37,h40_fw,18,18
312,44,h40_fw,3,4
313,62,h40_fw,9,10
314,27,h40_fw,42,42
315,27,h40_fw,10,11
316,53,h40_fw,1,0
317,60,h40_fw,11,10
318,63,h40_sw,0,0
319,29,h40_fw,14,12
320,60,h40_sw,17,21
321,65,h40_sw,17,12
322,65,h32,1,2
323,62,h40_sw,25,24
324,44,h40_fw,11,11
325,48,h40_sw,0,0
326,62,h40_sw,18,18
327,63,h40_fw,8,7
328,52,h40_sw,24,23
329,65,h40_fw,0,1
330,58,h40_sw,7,6
331,24,h32,0,0
332,48,h40_sw,6,7
333,44,h40_sw,6,6
334,37,h40_sw,11,11
335,31,h40_sw,5,2
336,49,h40_fw,39,38
337,53,h40_fw,41,42
338,58,h40_sw,1,1
339,32,h32,7,7
340,57,h40_fw,3,2
341,54,h32,26,25
342,45,h32,3,1
343,30,h32,1,0
344,28,h40_sw,45,46
345,62,h32,44,42
346,35,h32,4,5
347,47,h40_sw,8,7
348,65,h40_sw,4,8
349,60,h32,1,0
350,28,h40_sw,3,2
351,36,h40_sw,2,1
352,38,h40_sw,2,2
353,56,h40_fw,1,1
354,65,h40_sw,0,0
355,37,h40_fw,18,17
356,34,h40_fw,5,3
357,63,h40_sw,41,41
358,34,h40_sw,1,3
359,57,h32,1,0
360,42,h40_sw,0,0
361,55,h32,6,3
362,65,h40_sw,15,14
363,24,h40_fw,7,5
364,38,h32,2,0
365,46,h40_sw,4,4
366,57,h32,31,32
367,55,h40_fw,3,3
368,46,h40_fw,0,1
369,41,h40_sw,3,0
370,58,h40_fw,1,0
371,56,h40_sw,3,1
372,40,h40_fw,17,19
373,34,h40_sw,0,1
374,26,h40_fw,0,0
375,60,h40_sw,11,13
376,34,h40_sw,15,14
377,62,h40_fw,17,18
378,32,h40_fw,2,1
379,48,h40_sw,5,5
380,27,h32,2,0
381,32,h32,32,31
382,50,h40_fw,2,0
383,56,h40_fw,1,1
384,58,h40_fw,11,7
385,52,h32,10,8
386,33,h32,8,8
387,65,h32,16,15
388,44,h40_fw,2,3
389,54,h40_fw,12,11
390,54,h32,12,10
391,27,h32,3,0
392,44,h32,8,4
393,36,h40_sw,0,0
394,33,h32,6,7
395,58,h40_sw,6,5
396,28,h40_sw,6,6
397,36,h32,2,0
398,58,h40_fw,51,50
399,27,h32,8,3
400,62,h32,7,3
401,37,h40_sw,9,5
402,29,h40_fw,6,6
403,52,h40_sw,12,11
404,32,h40_sw,6,3
405,60,h40_fw,2,3
406,24,h40_fw,11,11
407,53,h40_fw,17,18
408,28,h40_fw,7,7
409,46,h40_fw,16,17
410,31,h40_fw,4,4
411,59,h40_fw,10,8
412,53,h40_sw,0,0
413,65,h32,2,1
414,61,h32,5,1
415,62,h32,1,0
416,55,h40_sw,15,16
417,32,h40_sw,1,6
418,48,h32,5,4
419,52,h32,6,1
420,28,h32,81,81
421,52,h32,0,0
422,53,h40_fw,8,9
423,27,h40_sw,4,4
424,36,h40_sw,9,7
425,42,h40_fw,6,7
426,50,h40_sw,2,1
427,46,h40_sw,13,13
428,35,h40_sw,1,0
429,58,h32,11,11
430,36,h32,2,0
431,37,h40_sw,35,34
432,44,h32,2,0
433,33,h32,0,0
434,65,h40_sw,3,0
435,40,h40_fw,0,0
436,65,h40_sw,4,2
437,41,h32,0,0
438,60,h40_sw,1,0
439,54,h40_fw,9,9
440,60,h40_sw,1,0
441,36,h40_fw,11,8
442,39,h32,10,10
443,33,h40_fw,15,15
444,32,h32,11,9
445,48,h40_fw,3,4
446,49,h40_fw,12,12
447,60,h32,12,11
448,59,h40_sw,0,0
449,27,h40_fw,12,12
450,36,h40_sw,2,0
451,41,h40_fw,14,13
452,32,h32,5,6
453,57,h32,1,0
454,59,h40_fw,11,14
455,38,h32,18,18
456,28,h32,4,2
457,44,h32,0,0
458,52,h32,32,30
459,62,h40_sw,22,21
460,36,h40_sw,1,0
461,52,h32,54,52
462,53,h40_fw,11,11
463,58,h40_fw,26,24
464,58,h32,3,0
465,33,h32,4,1
466,28,h40_fw,49,48
467,32,h40_fw,0,0
468,56,h40_fw,35,34
469,37,h32,9,4
470,28,h40_sw,25,26
471,60,h40_sw,6,5
472,62,h40_fw,8,5
473,55,h40_fw,16,15
474,60,h40_fw,1,1
475,63,h40_sw,4,3
476,48,h32,11,11
477,48,h40_sw,8,8
478,48,h40_sw,6,5
479,53,h40_sw,3,3
480,32,h40_sw,2,1
481,57,h32,1,0
482,41,h40_sw,8,9
483,40,h32,11,10
484,60,h32,1,0
485,35,h40_fw,1,0
486,61,h32,9,9
487,55,h40_sw,2,0
488,41,h40_fw,5,5
489,47,h40_sw,0,0
490,62,h40_sw,3,1
491,65,h40_sw,4,5
492,42,h32,10,7
493,44,h32,4,3
494,63,h40_sw,0,0
495,41,h40_fw,9,9
496,35,h32,21,17
497,48,h40_sw,10,11
498,53,h40_fw,1,1
499,52,h32,5,5
500,37,h40_sw,4,5
501,41,h40_fw,6,4
502,50,h40_sw,8,8
503,57,h32,7,6
504,37,h40_sw,29,31
505,55,h40_sw,12,12
506,53,h40_fw,8,8
507,44,h40_fw,48,48
508,57,h40_sw,24,25
509,39,h40_sw,10,11
510,59,h40_fw,16,14
511,51,h40_fw,9,8
512,35,h32,4,3
513,36,h32,17,15
514,65,h40_fw,2,2
515,53,h40_sw,2,1
516,28,h40_sw,0,0
517,62,h40_sw,23,23
518,45,h32,16,18
519,36,h32,33,29
520,40,h40_sw,3,1
521,37,h32,1,0
522,65,h32,2,0
523,55,h32,14,12
524,63,h40_fw,10,10
525,59,h40_fw,8,8
526,58,h32,33,31
527,58,h40_sw,4,4
528,41,h40_sw,22,25
529,33,h40_fw,13,12
530,42,h40_sw,0,1
531,37,h40_fw,3,5
532,65,h40_fw,6,6
533,56,h32,1,0
534,39,h40_sw,8,4
535,65,h40_fw,2,1
536,40,h40_fw,4,6
537,32,h32,5,2
538,56,h40_sw,38,38
539,62,h40_fw,2,2
540,52,h40_sw,0,2
541,49,h40_sw,8,6
542,42,h40_sw,31,33
543,63,h40_fw,15,14
544,35,h40_sw,9,10
545,36,h40_sw,9,4
546,33,h40_sw,1,3
547,38,h40_fw,13,12
548,50,h40_sw,20,20
549,33,h32,1,0
550,32,h40_sw,3,4
551,45,h32,28,28
552,45,h40_fw,11,12
553,60,h40_fw,19,18
554,43,h40_fw,2,4
555,30,h40_sw,3,5
556,28,h40_sw,3,2
557,34,h32,1,0
558,52,h32,2,0
559,44,h40_fw,8,6
560,41,h40_fw,9,6
561,52,h40_sw,3,3
562,65,h32,0,0
563,48,h40_sw,16,15
564,36,h32,15,9
565,59,h40_sw,11,10
566,28,h32,4,6
567,55,h40_fw,8,10
568,53,h32,23,23
569,42,h32,16,16
570,53,h32,13,11
571,35,h40_sw,1,0
572,65,h40_sw,9,5
573,57,h40_sw,20,19
574,58,h32,15,18
575,53,h32,17,16
576,36,h40_fw,22,21
577,39,h40_fw,12,13
578,65,h40_fw,3,3
579,45,h32,6,4
580,27,h32,13,9
581,58,h40_sw,19,18
582,46,h40_fw,12,12
583,52,h40_fw,5,8
584,28,h40_sw,20,16
585,60,h40_sw,4,5
586,41,h40_fw,13,12
587,25,h32,7,6
588,29,h32,0,0
589,38,h40_sw,7,7
590,36,h40_fw,20,20
591,57,h40_fw,0,1
592,59,h40_fw,3,1
593,40,h40_sw,8,6
594,26,h32,1,0
595,33,h40_fw,0,0
596,36,h40_sw,16,16
597,60,h32,3,4
598,37,h40_fw,6,6
599,55,h32,0,0
600,44,h40_sw,7,3
601,36,h40_sw,2,1
602,56,h40_fw,27,28
603,39,h40_sw,8,7
604,53,h40_fw,3,3
605,36,h40_fw,15,17
606,31,h32,5,1
607,41,h32,6,7
608,27,h32,15,11
609,53,h40_fw,0,1
610,40,h40_fw,54,55
611,39,h40_fw,6,6
612,39,h40_sw,8,8
613,44,h40_sw,18,14
614,60,h40_sw,10,11
615,58,h40_sw,12,10
616,58,h32,14,10
617,36,h32,16,14
618,53,h40_fw,2,4
619,36,h32,2,0
620,39,h40_sw,0,1
621,36,h32,2,2
622,53,h40_sw,5,5
623,39,h40_sw,16,16
624,50,h40_fw,2,2
625,60,h40_sw,33,31
626,60,h40_sw,7,8
627,63,h32,5,2
628,61,h32,1,0
629,60,h32,2,0
630,52,h32,21,18
631,45,h40_sw,3,3
632,33,h40_fw,13,13
633,65,h32,8,4
634,27,h32,7,5
635,44,h32,2,0
636,48,h40_fw,0,2
637,36,h40_fw,32,31
638,60,h40_sw,18,17
639,44,h40_sw,14,16
640,25,h40_fw,7,8
641,27,h32,0,0
642,28,h40_fw,2,2
643,58,h40_sw,1,0
644,24,h40_sw,0,0
645,36,h32,2,0
646,65,h40_sw,3,0
647,56,h40_fw,16,16
648,36,h40_fw,1,0
649,36,h40_fw,13,14
650,62,h40_sw,2,3
651,24,h40_fw,9,12
652,55,h32,3,3
653,46,h40_sw,19,17
654,58,h40_sw,20,20
655,60,h40_sw,12,11
656,44,h32,1,2
657,34,h40_fw,3,2
658,62,h32,16,12
659,51,h40_fw,2,3
660,62,h32,32,30
661,45,h32,0,0
662,62,h40_sw,2,2
663,38,h40_sw,3,2
664,63,h32,32,30
665,28,h32,4,4
666,55,h40_fw,25,26
667,33,h40_fw,8,10
668,62,h40_sw,19,19
669,28,h40_sw,6,3
670,32,h40_sw,32,31
671,57,h40_sw,1,1
672,63,h40_sw,21,21
673,31,h40_sw,15,13
674,63,h40_fw,0,0
675,39,h40_sw,5,7
676,28,h32,4,0
677,37,h40_fw,3,2
678,32,h40_fw,0,0
679,39,h40_fw,7,7
680,46,h32,0,2
681,51,h32,7,1
682,45,h40_sw,0,0
683,44,h40_sw,9,7
684,60,h32,2,0
685,65,h40_fw,6,8
686,36,h40_sw,14,14
687,36,h40_sw,2,2
688,38,h32,0,0
689,34,h40_fw,4,3
690,42,h32,29,26
691,41,h40_sw,9,9
692,30,h32,3,2
693,58,h40_sw,0,0
694,32,h40_fw,7,8
695,63,h40_fw,1,0
696,53,h40_fw,16,16
697,51,h32,9,6
698,54,h40_sw,3,4
699,46,h40_sw,13,12
700,57,h40_fw,4,7
701,58,h40_sw,26,26
702,27,h40_fw,8,5
703,34,h32,3,5
704,44,h40_fw,16,18
705,30,h40_sw,2,3
706,36,h40_fw,2,1
707,33,h40_fw,0,0
708,37,h40_fw,11,12
709,42,h32,36,35
710,41,h40_fw,2,2
711,63,h40_sw,6,3
712,37,h40_sw,28,22
713,54,h40_sw,6,7
714,34,h40_sw,14,14
715,58,h32,0,0
716,25,h40_fw,4,3
717,60,h40_fw,10,9
718,28,h40_sw,24,23
719,34,h40_sw,41,41
720,42,h40_sw,0,1
721,59,h32,0,0
722,46,h40_fw,5,6
723,53,h40_fw,1,0
724,64,h40_fw,3,3
725,65,h40_sw,10,11
726,33,h40_sw,26,26
727,37,h40_fw,7,7
728,52,h40_fw,10,9
729,62,h40_sw,4,3
730,63,h40_sw,6,5
731,52,h40_sw,5,6
732,34,h40_sw,3,3
733,25,h32,7,3
734,37,h32,2,0
735,46,h40_fw,3,4
736,63,h32,1,0
737,39,h32,3,1
738,33,h40_sw,2,2
739,55,h32,0,1
740,53,h32,10,10
741,33,h32,2,0
742,41,h40_fw,0,1
743,40,h40_fw,30,30
744,60,h40_fw,20,20
745,42,h32,29,27
746,44,h40_fw,7,5
747,63,h40_fw,10,9
748,57,h40_sw,4,4
749,33,h40_fw,1,0
750,52,h32,47,45
751,56,h40_sw,8,7
752,63,h32,15,12
753,32,h40_fw,22,22
754,56,h40_sw,4,2
755,40,h40_sw,4,5
756,52,h32,20,19
757,39,h40_sw,29,32
758,34,h40_fw,1,1
759,57,h32,0,1
760,31,h40_sw,2,1
761,57,h40_fw,9,9
762,25,h32,0,0
763,25,h40_sw,4,4
764,53,h40_sw,6,5
765,33,h40_fw,3,5
766,47,h40_fw,7,5
767,58,h40_sw,3,0
768,41,h40_fw,11,12
769,45,h40_fw,2,2
770,25,h40_sw,22,23
771,60,h40_fw,23,22
772,36,h40_sw,7,5
773,65,h40_sw,17,17
774,36,h32,22,21
775,39,h32,5,2
776,46,h40_fw,5,4
777,33,h32,21,22
778,25,h40_sw,25,26
779,46,h40_fw,2,2
780,48,h32,11,8
781,28,h40_sw,1,0
782,48,h40_sw,1,0
783,52,h40_fw,4,4
784,57,h40_sw,8,11
785,35,h32,6,3
786,30,h40_sw,15,16
787,48,h40_sw,38,40
788,62,h40_fw,20,20
789,28,h40_fw,9,7
790,36,h40_fw,1,0
791,65,h32,12,10
792,28,h40_sw,1,2
793,41,h32,43,40
794,38,h40_sw,17,17
795,52,h40_sw,18,17
796,58,h40_sw,24,24
797,31,h32,8,5
798,53,h32,6,6
799,30,h32,0,0
800,33,h40_sw,17,15
801,27,h40_fw,2,2
802,28,h32,7,4
803,56,h40_fw,25,26
804,39,h40_fw,4,4
805,31,h40_fw,6,7
806,28,h40_fw,1,1
807,47,h40_sw,0,0
808,55,h32,13,14
809,36,h40_fw,2,4
810,45,h40_sw,2,0
811,53,h40_fw,4,6
812,48,h40_sw,2,3
813,41,h32,16,12
814,36,h32,8,9
815,52,h40_fw,10,11
816,57,h40_sw,15,15
817,41,h32,17,15
818,27,h40_sw,5,1
819,24,h40_fw,0,0
820,60,h40_sw,2,0
821,46,h32,19,18
822,34,h32,4,2
823,42,h40_sw,0,2
824,39,h40_sw,18,18
825,37,h40_sw,20,18
826,36,h40_sw,14,13
827,48,h32,10,9
828,53,h40_sw,3,3
829,37,h40_fw,5,5
830,39,h32,4,1
831,62,h32,2,3
832,61,h40_sw,27,24
833,44,h32,2,0
834,62,h40_fw,6,8
835,26,h40_fw,4,4
836,50,h32,17,12
837,28,h40_sw,16,14
838,25,h40_fw,15,14
839,28,h40_sw,8,7
840,40,h40_sw,0,0
841,46,h40_fw,5,4
842,63,h40_sw,22,20
843,44,h32,18,16
844,51,h40_sw,18,14
845,41,h32,3,0
846,59,h40_sw,28,25
847,65,h40_sw,5,4
848,61,h40_fw,9,12
849,65,h40_fw,0,1
850,57,h32,3,0
851,45,h32,5,4
852,57,h40_fw,1,2
853,30,h40_fw,1,0
854,37,h32,10,7
855,44,h40_fw,0,1
856,46,h32,9,7
857,62,h40_sw,5,8
858,65,h40_fw,1,0
859,35,h32,29,28
860,40,h40_sw,4,3
861,61,h40_fw,5,4
862,57,h40_sw,10,13
863,56,h32,12,14
864,53,h40_fw,0,0
865,36,h32,11,5
866,27,h40_sw,48,49
867,28,h40_sw,3,6
868,33,h32,2,1
869,33,h40_sw,26,27
870,54,h40_sw,18,18
871,33,h32,37,34
872,36,h40_sw,6,5
873,36,h40_fw,10,10
874,27,h40_fw,6,6
875,33,h40_fw,3,3
876,41,h32,2,0
877,32,h32,13,11
878,40,h40_sw,40,41
879,63,h32,15,15
880,65,h40_sw,0,1
881,37,h40_sw,11,9
882,65,h40_sw,5,5
883,45,h40_sw,10,13
884,54,h40_fw,20,20
885,48,h40_fw,22,24
886,52,h40_fw,12,13
887,45,h32,5,2
888,65,h40_fw,3,4
889,63,h40_fw,8,8
890,60,h40_sw,15,16
891,33,h40_fw,5,6
892,41,h40_fw,1,2
893,65,h40_fw,3,4
894,47,h40_sw,5,4
895,39,h40_fw,1,1
896,45,h32,6,3
897,35,h32,11,10
898,37,h40_fw,3,4
899,27,h40_sw,15,14
900,42,h40_fw,1,3
901,57,h40_fw,8,7
902,46,h40_fw,3,4
903,36,h32,5,2
904,58,h40_sw,4,3
905,35,h32,33,34
906,44,h40_fw,22,23
907,40,h40_sw,9,8
908,45,h40_fw,5,2
909,34,h40_fw,2,2
910,49,h40_fw,9,10
911,32,h32,14,10
912,48,h40_fw,6,5
913,37,h32,0,0
914,52,h40_sw,32,33
915,35,h40_sw,1,0
916,63,h32,16,10
917,44,h40_fw,5,5
918,63,h40_fw,10,10
919,60,h32,1,0
920,47,h40_sw,1,0
921,27,h40_sw,20,19
922,56,h40_fw,5,7
923,48,h40_fw,12,12
924,48,h40_sw,1,0
925,48,h40_fw,1,3
926,63,h32,0,0
927,41,h40_fw,0,0
928,60,h32,0,0
929,48,h40_sw,1,0
930,55,h32,6,4
931,54,h40_fw,5,8
932,30,h40_sw,28,28
933,27,h40_sw,11,9
934,63,h40_sw,23,19
935,34,h32,8,5
936,53,h40_sw,10,9
937,47,h40_fw,6,5
938,32,h32,5,0
939,34,h40_fw,2,3
940,35,h32,10,6
941,46,h40_fw,2,2
942,55,h40_sw,13,15
943,28,h40_sw,3,1
944,44,h40_sw,24,24
945,58,h40_sw,1,0
946,53,h32,6,6
947,43,h32,34,33
948,43,h40_fw,16,18
949,35,h40_sw,20,20
950,58,h32,3,0
951,40,h32,3,3
952,53,h40_sw,5,4
953,63,h40_fw,10,10
954,32,h40_fw,13,14
955,50,h40_sw,18,17
956,35,h32,10,4
957,53,h32,15,14
958,32,h40_sw,21,21
959,33,h32,5,2
960,28,h32,2,0
961,63,h32,1,2
962,31,h40_fw,19,19
963,28,h40_sw,26,24
964,44,h40_sw,8,10
965,48,h32,15,10
966,49,h40_sw,0,0
967,41,h32,3,2
968,43,h32,8,6
969,41,h32,16,17
970,28,h40_fw,3,4
971,41,h32,7,5
972,46,h32,7,2
973,32,h32,2,0
974,41,h40_sw,22,22
975,45,h32,0,0
976,63,h32,2,1
977,38,h40_sw,9,5
978,27,h40_fw,5,4
979,60,h32,2,0
980,53,h32,13,8
981,62,h40_fw,3,5
982,35,h40_fw,0,1
983,54,h40_fw,5,4
984,33,h40_sw,10,10
985,47,h40_sw,11,11
986,58,h32,1,1
987,46,h32,6,5
988,57,h40_sw,0,0
989,63,h40_fw,1,0
990,53,h32,7,3
991,58,h32,0,0
992,44,h40_fw,4,2
993,53,h40_sw,10,7
994,35,h32,1,2
995,37,h32,10,8
996,40,h40_sw,4,3
997,24,h32,10,8
998,33,h32,3,3
999,48,h40_sw,5,6
1000,62,h40_fw,7,7
1001,62,h32,1,0
1002,37,h40_fw,7,4
1003,65,h40_fw,5,5
1004,57,h32,9,6
1005,65,h40_sw,42,40
1006,57,h40_fw,6,6
1007,50,h40_sw,9,9
1008,30,h40_fw,1,1
1009,53,h40_sw,6,6
1010,39,h40_fw,6,5
1011,65,h40_fw,2,3
1012,47,h40_fw,10,8
1013,57,h40_sw,3,2
1014,28,h32,9,5
1015,33,h32,4,3
1016,30,h40_fw,13,14
1017,52,h40_sw,16,16
1018,33,h32,6,3
1019,41,h40_fw,7,7
1020,43,h32,7,2
1021,60,h40_sw,1,1
1022,60,h32,14,12
1023,30,h40_sw,1,1
1024,63,h32,3,0
1025,44,h40_sw,24,24
1026,45,h40_fw,65,65
1027,56,h32,16,15
1028,32,h40_fw,26,24
1029,53,h40_fw,9,7
1030,40,h32,17,15
1031,63,h32,4,1
1032,63,h40_fw,1,0
1033,53,h32,13,11
1034,60,h40_fw,30,32
1035,33,h40_sw,19,19
1036,42,h40_sw,0,1
1037,55,h40_fw,0,2
1038,60,h40_fw,4,5
1039,37,h40_sw,19,18
1040,58,h40_fw,4,4
1041,57,h40_sw,7,8
1042,57,h40_sw,3,2
1043,44,h40_fw,1,1
1044,58,h40_sw,5,5
1045,48,h40_fw,25,27
1046,37,h40_sw,11,9
1047,28,h40_fw,1,2
1048,58,h40_fw,20,22
1049,62,h40_fw,19,18
1050,31,h40_sw,25,24
1051,55,h40_fw,2,1
1052,65,h40_fw,18,20
1053,62,h40_sw,9,8
1054,33,h40_sw,16,17
1055,55,h40_sw,5,5
1056,33,h32,2,0
1057,34,h40_sw,18,16
1058,59,h40_sw,4,4
1059,62,h32,25,25
1060,37,h32,1,0
1061,53,h40_fw,12,11
1062,41,h32,54,58
1063,32,h32,3,0
