LeadTime,ArrivalDateYear,StaysInWeekendNights,StaysInWeekNights,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
31,2016,0,2,Groups,Direct,1,0,0,A,0,NA,NA,0,Transient-Party,305,0,1
53,2016,2,2,Online TA,TA/TO,0,0,0,E,0,241,NA,0,Transient,40.81,0,1
62,2017,1,4,Groups,Corporate,1,0,0,A,1,NA,307,0,Transient-Party,85,1,0
3,2016,0,2,Direct,Direct,1,0,1,A,0,250,NA,0,Transient,161,1,2
101,2017,2,1,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,130,0,0
124,2016,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,58,0,1
131,2016,2,0,Groups,Corporate,0,0,0,A,0,NA,NA,0,Transient,61,1,0
13,2016,1,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,224,0,0
257,2017,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,80.1,0,0
235,2015,2,3,Online TA,TA/TO,0,2,0,A,0,240,NA,0,Transient,112,0,1
168,2016,0,2,Groups,TA/TO,0,0,0,A,0,245,NA,0,Transient,86,0,0
0,2017,1,2,Direct,Direct,0,0,0,G,2,250,NA,0,Transient-Party,93,0,0
89,2015,1,5,Direct,Direct,0,0,0,H,3,NA,NA,0,Transient,190,0,1
171,2016,2,5,Offline TA/TO,TA/TO,0,0,0,D,2,143,NA,0,Transient,70,0,0
1,2016,0,1,Corporate,Corporate,0,0,0,A,0,NA,165,0,Transient,30,0,1
29,2015,0,2,Corporate,Corporate,0,1,5,A,2,NA,86,0,Transient,48,0,0
153,2016,0,3,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient-Party,123,0,2
104,2016,2,7,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,61.2,0,0
152,2017,1,4,Groups,TA/TO,0,0,0,A,4,NA,223,0,Transient-Party,48,0,0
0,2015,0,1,Direct,Direct,0,0,1,A,0,NA,NA,0,Transient,38,0,0
12,2015,2,5,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,116.71,0,1
330,2017,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,74.25,0,1
0,2017,0,0,Online TA,TA/TO,1,0,0,A,0,184,NA,0,Transient,0,0,0
174,2017,1,2,Online TA,TA/TO,0,0,0,D,0,314,NA,0,Transient,92.4,0,0
33,2016,0,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,44.8,0,1
80,2015,4,7,Offline TA/TO,TA/TO,0,0,0,D,0,243,NA,0,Contract,55.64,0,1
136,2016,2,5,Online TA,TA/TO,0,0,0,F,0,241,NA,0,Transient,61.02,1,1
118,2017,2,7,Direct,Direct,0,0,0,D,2,250,NA,0,Transient,99.28,0,0
1,2016,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,330,NA,0,Transient-Party,45,0,0
4,2016,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,52,0,1
206,2017,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,243,NA,0,Transient,70.11,0,1
36,2017,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Contract,36.12,0,0
1,2015,0,2,Corporate,Corporate,0,0,0,A,0,NA,113,0,Transient,35,0,0
221,2017,2,5,Groups,TA/TO,0,0,0,D,0,NA,NA,0,Transient-Party,83.43,0,0
139,2015,4,10,Offline TA/TO,TA/TO,0,0,0,A,0,243,NA,0,Contract,55.68,0,2
194,2016,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Transient,97.4,0,1
1,2016,0,1,Corporate,Corporate,0,0,0,A,0,NA,424,0,Transient,126,1,0
388,2017,0,3,Groups,TA/TO,0,0,0,E,0,96,NA,0,Transient-Party,72,0,0
10,2016,2,0,Online TA,TA/TO,0,0,0,D,2,240,NA,0,Transient,307.5,0,1
12,2016,1,0,Complementary,TA/TO,0,0,0,F,0,15,NA,0,Transient,0,0,0
0,2016,2,3,Direct,Direct,0,0,0,F,0,NA,NA,0,Transient,182.6,0,0
2,2015,0,1,Corporate,Corporate,0,1,0,A,0,NA,NA,0,Transient,47,0,0
152,2015,1,0,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,76,0,2
192,2016,2,5,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,132.36,0,0
251,2017,1,3,Groups,TA/TO,0,0,0,D,0,96,NA,0,Transient-Party,106,0,0
39,2016,2,5,Online TA,TA/TO,0,0,0,D,0,241,NA,0,Transient,44.46,0,1
216,2017,2,6,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,64.8,1,2
37,2015,2,6,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,216.13,1,0
82,2017,2,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,108,0,0
9,2016,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
178,2016,2,2,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,110.75,0,0
259,2015,0,3,Groups,Corporate,0,1,0,A,0,NA,223,0,Transient,33.3,0,0
18,2016,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,174,0,1
275,2015,2,0,Offline TA/TO,TA/TO,0,26,0,A,0,208,NA,0,Transient,50,0,0
177,2016,1,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,85.5,0,0
179,2016,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,72.9,0,1
41,2015,1,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,178.4,0,0
85,2016,2,8,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,89.4,1,2
0,2015,1,0,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,98,0,0
0,2017,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,43,0,0
0,2016,0,1,Offline TA/TO,TA/TO,0,0,0,D,0,8,NA,0,Transient,48,0,0
62,2015,2,0,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,39.26,1,1
49,2015,1,3,Offline TA/TO,TA/TO,0,0,0,A,0,142,NA,0,Transient,92,0,0
7,2015,0,1,Direct,Direct,0,0,0,A,1,NA,NA,0,Transient,38,0,3
74,2015,3,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,86,0,2
128,2015,4,8,Offline TA/TO,TA/TO,0,0,0,E,2,314,NA,0,Transient,62.47,0,0
15,2015,0,2,Corporate,Direct,0,0,0,D,0,NA,346,0,Transient-Party,66,1,0
0,2017,0,1,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,60,0,2
328,2016,2,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,170,0,0
259,2015,0,3,Groups,Corporate,0,1,0,A,0,NA,223,0,Transient,33.3,0,0
11,2016,2,0,Direct,TA/TO,0,0,0,A,0,NA,405,0,Transient,76,1,0
10,2016,1,0,Online TA,TA/TO,0,0,0,A,0,184,NA,0,Transient,141,1,0
103,2017,1,1,Groups,Corporate,0,0,0,D,0,495,NA,0,Transient,65,0,0
1,2016,1,0,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,234,0,0
157,2017,2,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,126.67,0,1
6,2016,0,0,Offline TA/TO,TA/TO,0,0,0,A,0,95,NA,0,Transient,0,0,0
99,2015,2,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,154,0,1
98,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,1,6,NA,0,Transient,78.19,0,1
70,2016,0,4,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,79.5,0,0
21,2016,0,2,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,105,0,2
66,2017,2,5,Online TA,TA/TO,0,0,0,D,0,242,NA,0,Transient,284.86,0,1
1,2015,0,1,Direct,Direct,0,0,0,F,1,NA,NA,0,Transient,78,0,1
17,2017,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,207,0,2
33,2015,2,5,Offline TA/TO,TA/TO,0,0,0,A,1,6,NA,0,Transient,49.4,0,0
245,2015,0,1,Groups,TA/TO,0,1,0,A,0,248,NA,0,Transient,80,0,0
293,2016,0,5,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,72,0,0
178,2016,2,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,70.75,0,0
225,2017,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,315,NA,0,Contract,138.13,0,1
0,2016,0,1,Direct,Direct,1,0,1,A,1,NA,NA,0,Transient,78,0,0
168,2016,1,3,Groups,TA/TO,0,0,0,A,0,257,NA,0,Transient,80,0,0
5,2017,1,0,Complementary,TA/TO,1,0,1,E,0,40,NA,0,Transient,0,1,2
338,2017,0,1,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,164,0,0
0,2016,0,1,Online TA,TA/TO,0,0,0,A,0,NA,NA,0,Transient,40,0,0
78,2015,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,66.6,1,2
0,2016,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,75,1,0
124,2016,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,122.86,0,2
135,2017,0,3,Online TA,TA/TO,0,0,0,E,0,241,NA,0,Transient,94.97,0,2
14,2017,2,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,43,0,1
144,2017,4,14,Groups,TA/TO,0,0,0,A,0,440,NA,0,Transient-Party,62,0,0
212,2017,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,410,NA,0,Transient-Party,123.5,1,1
46,2017,2,5,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,153.57,0,0
138,2017,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,436,NA,0,Transient,99,0,0
14,2016,0,3,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Transient,47.4,1,1
177,2016,2,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,25.11,0,1
336,2016,1,3,Groups,Direct,0,0,0,A,1,NA,223,0,Transient-Party,110.5,0,0
59,2016,0,1,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,89.1,1,0
84,2017,2,4,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,193,0,0
16,2015,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,53,1,0
0,2017,0,1,Direct,TA/TO,1,0,1,A,0,NA,NA,0,Transient,44,0,1
118,2015,4,10,Direct,Direct,0,0,0,A,2,NA,NA,0,Transient,62,0,2
166,2016,2,5,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,188.14,0,1
106,2016,1,3,Groups,Direct,0,0,0,A,0,68,NA,0,Transient,84,0,0
57,2015,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,36,0,1
46,2016,1,0,Direct,Direct,0,0,0,A,1,250,NA,0,Transient,71,1,1
83,2016,2,5,Groups,TA/TO,0,0,0,D,0,71,NA,0,Transient,58,0,0
16,2017,0,3,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,190,0,0
5,2017,0,2,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,73,0,0
0,2016,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,78,0,0
168,2016,1,3,Groups,TA/TO,0,0,0,A,0,257,NA,0,Transient,80,0,0
171,2016,4,10,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Transient,90.1,0,0
172,2017,2,5,Online TA,TA/TO,0,0,0,E,1,314,NA,0,Transient,97.71,0,0
140,2016,0,1,Offline TA/TO,TA/TO,0,0,0,D,0,NA,251,0,Transient,59,0,0
8,2015,0,2,Groups,Corporate,0,0,0,A,1,NA,223,0,Transient-Party,44.5,0,1
382,2015,4,10,Offline TA/TO,TA/TO,0,0,0,E,0,40,NA,0,Contract,76.5,0,0
3,2016,2,1,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,48,0,1
0,2015,0,1,Corporate,Corporate,1,1,2,A,0,88,NA,0,Transient,35,0,0
66,2016,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,86,0,0
1,2015,0,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,70,1,2
221,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient,53.12,0,0
269,2017,2,5,Online TA,TA/TO,0,0,0,A,0,15,NA,0,Transient,147,0,0
0,2017,0,1,Direct,Direct,0,0,0,G,0,NA,NA,0,Transient,155,0,0
170,2017,4,10,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,40,0,3
33,2015,0,1,Groups,Corporate,0,0,0,A,0,NA,307,0,Transient-Party,191,0,0
104,2017,2,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,230,0,2
0,2016,0,2,Direct,Direct,1,0,1,D,1,NA,NA,0,Transient,78,0,0
24,2015,0,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,236,0,2
35,2017,0,1,Corporate,Corporate,0,0,1,A,0,NA,154,0,Transient,35,0,0
39,2016,0,2,Online TA,TA/TO,0,0,0,H,1,240,NA,0,Transient-Party,136,1,0
5,2017,1,1,Corporate,Corporate,0,0,0,A,0,NA,94,0,Transient,35,0,0
307,2017,2,1,Online TA,TA/TO,0,0,0,F,0,242,NA,0,Transient-Party,197.61,1,2
230,2016,2,3,Offline TA/TO,TA/TO,0,0,0,E,0,314,NA,0,Transient,46.8,0,0
346,2016,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,81,0,2
51,2016,0,1,Groups,TA/TO,0,0,0,A,0,66,NA,0,Transient-Party,30,0,0
23,2015,1,3,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,65,0,1
2,2016,0,2,Direct,Direct,0,0,0,A,1,250,NA,0,Transient,55,1,0
133,2016,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,175,NA,0,Transient,65.36,0,0
136,2016,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,80,0,1
0,2015,0,1,Corporate,Corporate,0,0,0,A,0,NA,12,0,Transient,35,0,0
132,2016,2,3,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,57.8,0,1
99,2016,2,7,Groups,TA/TO,0,0,0,A,9,95,NA,0,Transient-Party,71.89,0,0
0,2016,1,1,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient,35,1,1
0,2015,0,1,Corporate,Corporate,0,0,1,A,0,NA,43,0,Transient,48,0,0
205,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,1,196,NA,0,Transient,162.14,1,1
222,2016,2,5,Direct,Direct,0,0,0,E,3,250,NA,0,Transient,95.5,0,0
74,2016,2,7,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,73,0,0
295,2017,2,8,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,82.1,0,2
165,2015,0,4,Groups,TA/TO,0,0,0,A,0,308,NA,122,Transient-Party,0,0,0
26,2016,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,64,0,0
3,2016,0,1,Groups,TA/TO,0,0,0,A,0,146,NA,0,Transient-Party,45,0,0
48,2017,1,1,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,84,0,0
210,2017,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,177,NA,0,Transient,50.4,0,1
195,2017,4,6,Groups,TA/TO,0,0,0,D,0,273,NA,0,Transient-Party,64.28,0,0
289,2015,1,2,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,57,0,0
114,2017,2,4,Direct,Direct,0,0,0,D,4,250,NA,0,Transient,189,1,1
45,2017,4,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,230,0,0
129,2016,2,2,Online TA,TA/TO,0,0,0,A,1,314,NA,0,Transient,76.4,0,0
113,2017,4,6,Offline TA/TO,TA/TO,0,0,0,D,0,69,NA,0,Transient,79.85,0,0
9,2017,1,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,121,0,0
68,2015,2,4,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,115,0,1
378,2016,0,2,Groups,TA/TO,0,0,0,A,0,248,NA,0,Transient,46,0,0
1,2017,2,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,139,1,1
20,2016,0,2,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,169,0,0
28,2016,1,3,Offline TA/TO,TA/TO,0,0,0,D,0,95,NA,0,Transient,86,0,0
34,2015,1,1,Groups,TA/TO,0,0,0,A,0,208,NA,0,Transient-Party,64,0,0
87,2016,3,8,Offline TA/TO,TA/TO,0,0,0,E,1,96,NA,0,Transient-Party,134.4,0,0
77,2016,2,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,86,1,2
110,2017,1,0,Groups,TA/TO,0,0,0,E,1,66,NA,0,Transient-Party,50,0,0
32,2016,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,57,0,0
77,2015,2,3,Offline TA/TO,TA/TO,0,0,0,A,0,177,NA,0,Transient,65.5,0,0
0,2016,0,1,Complementary,Direct,0,0,0,A,0,NA,NA,0,Transient,0,0,0
0,2015,0,5,Direct,Direct,0,0,0,A,1,250,NA,0,Transient,128,0,0
23,2016,0,2,Offline TA/TO,TA/TO,0,0,0,A,0,5,NA,0,Transient,37.5,0,1
72,2015,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,105,NA,0,Transient,110.7,1,0
9,2016,0,3,Direct,Direct,0,0,0,A,5,NA,NA,0,Transient,78.8,0,1
177,2017,2,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,218,0,3
48,2017,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,464,NA,0,Transient,47,0,0
238,2016,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,70.4,0,2
66,2015,2,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,161.6,0,0
66,2016,1,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,52,0,2
4,2017,2,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,42,0,1
311,2017,0,2,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,167.18,0,1
133,2015,3,5,Offline TA/TO,TA/TO,0,0,0,E,0,156,NA,0,Contract,142.63,0,1
196,2016,1,2,Groups,TA/TO,0,0,0,A,1,NA,308,0,Transient-Party,114,0,0
44,2016,0,1,Complementary,Direct,0,0,0,A,0,NA,NA,0,Transient,0,0,0
211,2016,4,10,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,172,0,1
52,2015,2,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,159.33,0,1
31,2016,1,0,Online TA,TA/TO,0,0,0,G,1,240,NA,0,Transient,359,0,0
0,2016,1,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,85,0,2
82,2015,2,7,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,198,0,0
109,2017,0,2,Groups,TA/TO,0,0,0,A,0,502,NA,0,Transient-Party,75,0,0
142,2017,1,1,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,37.8,0,1
200,2016,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,8,NA,0,Transient,128,0,0
2,2017,0,2,Direct,TA/TO,1,0,1,A,0,250,NA,0,Transient,149,1,1
295,2015,2,9,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,79.09,0,1
3,2016,1,1,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,198,1,1
121,2015,2,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,40.93,0,1
88,2016,2,4,Offline TA/TO,TA/TO,0,0,0,A,1,6,NA,0,Transient,34,0,0
129,2016,2,2,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,48.95,0,2
244,2016,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,90,0,2
0,2017,1,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,123.3,0,0
3,2016,1,2,Corporate,Corporate,0,0,0,A,0,NA,207,0,Transient,33,1,0
212,2016,2,5,Groups,Direct,0,0,0,A,0,273,NA,0,Transient,67.05,0,0
169,2015,4,9,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,36.26,0,1
150,2017,2,5,Online TA,TA/TO,0,0,0,E,1,314,NA,0,Transient,126.2,0,0
18,2016,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,109,0,0
38,2016,0,4,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,231.8,0,1
153,2015,4,10,Offline TA/TO,TA/TO,0,0,0,A,1,243,NA,0,Contract,61.65,0,0
81,2015,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,115,0,2
235,2016,2,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,98,0,0
94,2016,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Transient,41,0,1
162,2016,2,7,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,141.33,0,0
4,2015,0,1,Groups,Direct,0,0,0,F,0,NA,NA,0,Transient,72,1,0
23,2016,4,10,Offline TA/TO,TA/TO,0,0,0,E,0,6,NA,0,Transient,73.89,0,0
3,2016,1,0,Corporate,Corporate,1,0,1,A,0,NA,286,0,Transient-Party,39,0,0
304,2016,0,1,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,216,0,1
220,2017,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,54,0,1
108,2017,4,7,Online TA,Direct,0,0,0,E,2,NA,NA,0,Transient,85,0,5
226,2017,2,2,Online TA,TA/TO,0,0,0,A,0,314,NA,0,Transient-Party,30.24,0,0
21,2016,0,2,Direct,Direct,0,0,0,E,0,NA,NA,0,Transient,110,0,1
1,2015,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,95,0,2
2,2017,0,3,Direct,TA/TO,0,0,2,E,1,250,NA,0,Transient,153.67,0,0
3,2017,2,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,98.25,1,1
131,2016,2,5,Offline TA/TO,TA/TO,0,0,0,D,1,143,NA,0,Transient,88.7,0,0
4,2017,0,1,Corporate,Corporate,0,0,0,A,0,NA,112,0,Transient,45,0,0
5,2017,0,1,Direct,Direct,0,0,0,A,0,250,NA,0,Transient-Party,73.95,0,0
2,2017,0,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,75,1,1
143,2016,2,4,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,45.6,0,2
44,2015,2,1,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,70,0,0
337,2017,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,8,NA,0,Transient,72.2,0,0
47,2017,2,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,70,0,1
31,2016,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,61.2,0,2
154,2015,0,2,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient,36,0,0
113,2017,4,7,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Contract,40.95,0,2
341,2017,4,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,138.38,0,2
19,2017,1,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,260,0,4
167,2017,2,6,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,47.45,0,0
163,2015,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,91.46,0,1
1,2017,0,1,Corporate,Corporate,0,0,0,A,1,94,NA,0,Transient,35,0,0
212,2016,0,4,Direct,Direct,0,0,0,A,1,NA,395,0,Transient,119,0,2
282,2017,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,66.6,0,0
