"","age_cat","who_should_get_benefits_US_workers","who_should_get_benefits_foreign_workers","who_should_get_benefits_US_business_owners","who_should_get_benefits_foreign_business_owners","wellorpoorly_You","wellorpoorly_Democrats","wellorpoorly_Repulicans","wellorpoorly_USA","wellorpoorly_Mexico","wellorpoorly_China","attention_on_coop_environment","attention_on_coop_living_standards","attention_on_coop_infectious_diseases","attention_on_coop_merged","inst_view_changed_UN","inst_view_changed_WHO","inst_view_changed_USMCA","definition_products","definition_ideas","definition_money","definition_jobs","definition_people","definition_culture","definition_tech","important_to_assessment_who_has_power","important_to_assessment_US_winners_losers","important_to_assessment_global_winners_losers","important_to_assessment_who_shapes_culture","what_improves_merged","issue_view_changed_environment","issue_view_changed_living_standards","issue_view_changed_infectious_diseases","responsibility_state_local_officials","responsibility_congress_members","responsibility_foreign_govts","responsibility_IOs","responsibility_MNCs","trade_view","un_membership","usmca_membership","who_membership","party_id","education","gender","income_cat","race","location","response_id","weight","above_45","college","male","income_high","white","suburban","urban","rural","republican","democrat","leave_UN","leave_WHO","leave_USMCA","change_mind_less_environ","change_mind_less_health","change_mind_less_living_standards","change_mind_more_environ","change_mind_more_health","change_mind_more_living_standards","us_workers_benefit_more","foreign_workers_benefit_more","US_business_owners_benefit_more","foreign_business_owners_benefit_more","us_workers_benefit_less","foreign_workers_benefit_less","us_business_owners_benefit_less","foreign_business_owners_benefit_less","issue_view_changed_environment_factor","attention_on_coop_environment_factor","attention_on_coop_living_standards_factor","attention_on_coop_infectious_diseases_factor","wellorpoorly_You_factor","wellorpoorly_Democrats_factor","wellorpoorly_Republicans_factor","wellorpoorly_USA_factor","wellorpoorly_Mexico_factor","wellorpoorly_China_factor","attention_on_coop_merged_factor","inst_view_changed_UN_positive","inst_view_changed_UN_negative","inst_view_changed_WHO_positive","inst_view_changed_WHO_negative","inst_view_changed_USMCA_positive","inst_view_changed_USMCA_negative","important_to_assessment_who_has_power_factor","important_to_assessment_US_winners_losers_factor","important_to_assessment_global_winners_losers_factor","important_to_assessment_who_shapes_culture_factor","give_govts_control","give_experts_control","give_communities_control","globalz_no_improvement_needed","responsibility_congress_members_factor","responsibility_foreign_govts_factor","responsibility_IOs_factor","responsibility_MNCs_factor","responsibility_state_local_officials_factor","state_local_officials_have_responsibility","congress_members_have_responsibility","foreign_govts_have_responsibility","IOs_have_responsibility","MNCs_have_responsibility","increasetrade_increasegovtspending","increasetrade_decreasegovtspending","decreasetrade_decreasegovtspending","decreasetrade_increasegovtspending","attention_on_coop_merged_high","attention_on_coop_merged_low","attention_on_coop_environment_high","attention_on_coop_environment_low","attention_on_coop_infectious_diseases_high","attention_on_coop_infectious_diseases_low","attention_on_coop_living_standards_high","attention_on_coop_living_standards_low","wellorpoorly_You_well","wellorpoorly_You_poorly","wellorpoorly_USA_well","wellorpoorly_USA_poorly","reform_UN_multi","reform_UN_single","reform_WHO_multi","reform_WHO_single","reform_USMCA_multi","reform_USMCA_single","issue_view_changed_environment_more","issue_view_changed_environment_less","issue_view_changed_infectious_diseases_more","issue_view_changed_infectious_diseases_less","issue_view_changed_living_standards_more","issue_view_changed_living_standards_less"
"120","Under 45","1- Greatest benefit","1- Greatest benefit","3-","3-","Somewhat well",NA,NA,"Somewhat well",NA,NA,"Far more attention","Far more attention","Far more attention","Far more attention","I have become more supportive of the institution.","I have become more supportive of the institution.","I have become more supportive of the institution.","No","No","Yes","No","Yes","No","Yes","Somewhat important","Somewhat important","Very important","Somewhat important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Some responsibility","Some responsibility","Some responsibility","Some responsibility","Some responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","Democrat","No College","Female","Income over $50k","Black or African American","Rural","R_22kTAvYAn5H4lwB",2.39787786,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,NA,5,5,5,4,NA,NA,4,NA,NA,5,1,0,1,0,1,0,3,3,4,3,0,0,1,0,3,3,3,3,3,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
"121","45+","3-","2-","4- Least benefit","2-","Neither well nor poorly","Neither well nor poorly","Very poorly","Somewhat well","Somewhat poorly","Somewhat well","Far less attention","Current level is about right","Slightly more attention","Current level is about right",NA,"I have become more critical of the institution.","I have become more critical of the institution.","No","Yes","No","No","Yes","Yes","No","Very important","Very important","Very important","Somewhat important","Give national governments more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have not changed my mind","Only a little responsibility","A lot of responsibility","Some responsibility","Some responsibility","Some responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should leave this institution and pursue this mission on its own.","The US should leave this institution and pursue this mission on its own.","The US should stay in this institution but reform its mission.","Democrat","No College","Female","Income under $50k","Black or African American","Suburban","R_1GK26aWF0TAWE53",0.22357312,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,NA,1,3,4,3,3,1,4,2,4,3,NA,NA,0,1,0,1,4,4,4,3,1,0,0,0,4,3,3,3,2,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
"122","45+","1- Greatest benefit","2-","3-","4- Least benefit",NA,NA,NA,NA,NA,NA,"Far more attention","Far more attention","Far more attention","Slightly more attention","I have not changed my mind.","I have become more critical of the institution.","I have not changed my mind.","No","No","Yes","Yes","Yes","No","No","Somewhat important","Somewhat important","Somewhat important","Only a little important",NA,"I have not changed my mind","I have not changed my mind","I have not changed my mind","No responsibility","Only a little responsibility","Only a little responsibility","Some responsibility","Some responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution but reform its mission.","Democrat","College","Male","Income over $50k","White","Suburban","R_3jccoZKHGIGVw9Z",1.84709982,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,NA,5,5,5,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,3,3,3,2,NA,NA,NA,NA,2,2,3,3,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0
"123","Under 45","3-","3-","2-","3-","Very well","Very well","Very poorly","Somewhat well","Somewhat well","Somewhat well","Slightly less attention","Slightly less attention","Current level is about right","Current level is about right","I have not changed my mind.","I have not changed my mind.","I have not changed my mind.","No","No","Yes","No","No","Yes","Yes","Very important","Very important","Very important","Very important","Give experts more control over the system of globalization.","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","We should DECREASE international trade and DECREASE government spending in regions affected by international trade.","The US should leave this institution and build a new international institution to pursue this mission.","The US should leave this institution and build a new international institution to pursue this mission.","The US should stay in this institution and leave its mission as it is.","Democrat","No College","Male","Income over $50k","Black or African American","Urban","R_DVnBxrpMcbHwfRf",0.72601284,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,NA,2,2,3,5,5,1,4,4,4,3,0,0,0,0,0,0,4,4,4,4,0,1,0,0,4,4,4,4,4,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1
"124","45+","2-","3-","2-","3-","Somewhat poorly","Somewhat well","Very poorly","Neither well nor poorly","Neither well nor poorly","Somewhat poorly","Slightly more attention","Far more attention","Far more attention","Slightly more attention","I have not changed my mind.","I have become more supportive of the institution.","I have become more supportive of the institution.","Yes","Yes","No","No","Yes","No","No","Somewhat important","Somewhat important","Somewhat important","Only a little important","Give experts more control over the system of globalization.","I have not changed my mind","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","Some responsibility","A lot of responsibility","Some responsibility","Some responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution and leave its mission as it is.","Independent / Third party","College","Male","Income under $50k","White","Suburban","R_2VPbNYem3UeQ3Vf",1.98005798,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,NA,4,5,5,2,4,1,3,3,2,4,0,0,1,0,1,0,3,3,3,2,0,1,0,0,3,4,3,3,2,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
"125","Under 45","2-","2-","2-","2-","Neither well nor poorly","Somewhat well","Very poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Current level is about right","Current level is about right","Slightly more attention","Slightly more attention","I have become more critical of the institution.","I have not changed my mind.","I have not changed my mind.","No","No","No","No","Yes","Yes","Yes","Only a little important","Only a little important","Somewhat important","Very important","The existing system of globalization does not need to be improved.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","Some responsibility","Some responsibility","Some responsibility","Some responsibility","We should DECREASE international trade and DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should leave this institution and build a new international institution to pursue this mission.","Democrat","No College","Female","Income over $50k","American Indian or Alaska Native","Suburban","R_Zxk63VsJKHvlrS9",0.37779483,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,NA,3,3,4,3,4,1,3,3,3,4,0,1,0,0,0,0,2,2,3,4,0,0,0,1,3,3,3,3,2,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1
"126","Under 45","4- Least benefit","1- Greatest benefit","3-","3-","Somewhat well","Very poorly","Neither well nor poorly","Very well","Very poorly","Somewhat poorly","Slightly more attention","Current level is about right","Slightly less attention","Slightly less attention","I have not changed my mind.","I have become more critical of the institution.","I have not changed my mind.","No","Yes","Yes","Yes","No","No","No","Very important","Somewhat important","Only a little important","Only a little important","Give national governments more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","A lot of responsibility","A lot of responsibility","Only a little responsibility","Some responsibility","Only a little responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should leave this institution and build a new international institution to pursue this mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Republican","No College","Male","Income over $50k","White","Suburban","R_1JFNucIzERREqn7",2.77274665,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,NA,4,3,2,4,1,3,5,1,2,2,0,0,0,1,0,0,4,3,2,2,1,0,0,0,4,2,3,2,4,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0
"127","45+","4- Least benefit","1- Greatest benefit","1- Greatest benefit","1- Greatest benefit","Very well","Very poorly","Very well","Very well","Very poorly","Very poorly","Far less attention","Far less attention","Far more attention","Far less attention","I have become more critical of the institution.","I have become more critical of the institution.","I have become more critical of the institution.","No","No","Yes","Yes","Yes","No","No","Very important","Very important","Not at all important","Not at all important","The existing system of globalization does not need to be improved.","I have not changed my mind","I have not changed my mind",NA,"Some responsibility","A lot of responsibility","Only a little responsibility","Only a little responsibility","A lot of responsibility","We should DECREASE international trade but INCREASE government spending in regions affected by international trade.","The US should leave this institution and no longer pursue this mission.","The US should leave this institution and no longer pursue this mission.","The US should leave this institution and no longer pursue this mission.","Republican","No College","Male","Income over $50k","White","Rural","R_Y5LJm08IQfC2yPv",1.37293899,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,1,1,5,5,1,5,5,1,1,1,0,1,0,1,0,1,4,4,1,1,0,0,0,1,4,2,2,4,3,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0
"128","Under 45","3-","2-","3-","3-","Neither well nor poorly","Somewhat well","Somewhat poorly","Somewhat poorly","Very poorly","Somewhat poorly","Slightly less attention","Slightly less attention","Current level is about right","Current level is about right","I have become more critical of the institution.","I have become more supportive of the institution.","I have become more critical of the institution.","No","No","No","Yes","Yes","No","Yes","Only a little important","Very important","Very important","Somewhat important","Give national governments more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have not changed my mind","Only a little responsibility","Some responsibility","Some responsibility","Some responsibility","Only a little responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should leave this institution and pursue this mission on its own.","The US should stay in this institution but reform its mission.","Democrat","College","Female","Income over $50k","Black or African American","Rural","R_3dSmXE7Iurh6Lg2",0.20162853,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,NA,2,2,3,3,4,2,2,1,2,3,0,1,1,0,0,1,2,4,4,3,1,0,0,0,3,3,3,2,2,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"129","45+","4- Least benefit","4- Least benefit","1- Greatest benefit","1- Greatest benefit","Very poorly","Somewhat well","Very well","Somewhat well","Very poorly","Somewhat well","Far more attention","Far more attention","Far more attention","Far more attention","I have not changed my mind.","I have not changed my mind.","I have become more critical of the institution.","No","Yes","No","Yes","No","No","Yes","Very important","Somewhat important","Very important","Very important","Give citizens and communities more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have not changed my mind","Some responsibility","Some responsibility","A lot of responsibility","Some responsibility","A lot of responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should leave this institution and build a new international institution to pursue this mission.","The US should stay in this institution but reform its mission.","Independent / Third party","No College","Male","Income under $50k","White","Urban","R_1Pbny1dmlGE5KXH",0.32263607,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,5,5,5,1,4,5,4,1,4,5,0,0,0,0,0,1,4,3,4,4,0,0,1,0,3,4,3,4,3,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"130","Under 45","3-","2-","3-","1- Greatest benefit","Neither well nor poorly",NA,NA,"Somewhat poorly",NA,NA,"Far more attention","Slightly more attention","Far more attention","Far more attention","I have become more critical of the institution.","I have not changed my mind.","I have become more critical of the institution.","No","Yes","No","No","No","Yes","Yes","Somewhat important","Only a little important","Somewhat important","Somewhat important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have not changed my mind","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","Some responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution but reform its mission.","The US should stay in this institution and leave its mission as it is.","Independent / Third party","No College","Female","Income over $50k","White","Urban","R_12g6ac7U7pZwhwX",1.74303528,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,NA,5,4,5,3,NA,NA,2,NA,NA,5,0,1,0,0,0,1,3,2,3,3,0,0,1,0,3,4,4,4,2,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
"131","Under 45","1- Greatest benefit","2-","4- Least benefit","3-","Somewhat well","Very well","Very poorly","Very well","Very poorly","Somewhat poorly","Far less attention","Slightly less attention","Far less attention","Slightly less attention","I have become more critical of the institution.","I have not changed my mind.","I have not changed my mind.","Yes","No","No","No","Yes","No","Yes","Only a little important","Very important","Somewhat important","Very important","Give national governments more control over the system of globalization.","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","Some responsibility","Some responsibility","Some responsibility","Some responsibility","A lot of responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should leave this institution and no longer pursue this mission.","The US should leave this institution and pursue this mission on its own.","The US should leave this institution and no longer pursue this mission.","Democrat","No College","Female","Income under $50k","White","Suburban","R_2OTtb6SQOihynlm",0.2907732,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,NA,1,2,1,4,5,1,5,1,2,2,0,1,0,0,0,0,2,4,3,4,1,0,0,0,3,3,3,4,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"132","Under 45","1- Greatest benefit","2-","2-","2-","Very well","Very well","Very well","Very well","Very well","Very well","Far less attention","Slightly less attention","Slightly less attention","Slightly less attention","I have not changed my mind.","I have not changed my mind.",NA,"No","No","Yes","No","No","Yes","Yes","Very important","Very important","Somewhat important","Very important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","No responsibility","No responsibility","No responsibility","No responsibility","No responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should leave this institution and build a new international institution to pursue this mission.","The US should leave this institution and build a new international institution to pursue this mission.","The US should leave this institution and pursue this mission on its own.","Republican","No College","Female","Income over $50k","White","Suburban","R_oXklO650x7knjSF",0.17932338,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,NA,1,2,2,5,5,5,5,5,5,2,0,0,0,0,NA,NA,4,4,3,4,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0
"133","Under 45","4- Least benefit","3-","4- Least benefit","4- Least benefit",NA,"Very well","Somewhat poorly","Very poorly",NA,"Very well","Slightly more attention","Current level is about right","Slightly less attention","Far less attention","I have not changed my mind.","I have become more critical of the institution.","I have not changed my mind.","No","No","No","No","Yes","Yes","Yes","Very important","Only a little important","Somewhat important","Not at all important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have not changed my mind","I have not changed my mind","Some responsibility","Some responsibility","Some responsibility","Some responsibility","A lot of responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution but reform its mission.","Independent / Third party","No College","Male","Income over $50k","Black or African American","Urban","R_1k0Je7l4ms6oX5u",3.45056046,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,NA,4,3,2,NA,5,2,1,NA,5,1,0,0,0,1,0,0,4,2,3,1,0,0,1,0,3,3,3,4,3,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,NA,NA,0,1,0,0,1,1,0,0,1,0,0,0,0,0
"134","45+","1- Greatest benefit","3-","2-","4- Least benefit","Neither well nor poorly","Somewhat poorly","Somewhat poorly","Somewhat poorly","Somewhat well","Somewhat well","Slightly less attention","Current level is about right","Slightly more attention","Current level is about right","I have not changed my mind.","I have become more critical of the institution.","I have not changed my mind.","No","Yes","No","No","No","Yes","Yes","Very important","Very important","Very important","Only a little important","The existing system of globalization does not need to be improved.","I have not changed my mind","I have not changed my mind","I have not changed my mind","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution but reform its mission.","Republican","No College","Male","Income under $50k","White","Suburban","R_3J8wFUqRW0Qzsbi",1.28073748,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,NA,2,3,4,3,2,2,2,4,4,3,0,0,0,1,0,0,4,4,4,2,0,0,0,1,4,4,4,4,4,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"135","45+","1- Greatest benefit","1- Greatest benefit","1- Greatest benefit","1- Greatest benefit","Somewhat poorly","Very poorly","Very poorly","Very poorly","Very poorly","Very poorly","Far more attention","Far more attention","Far more attention","Far more attention","I have not changed my mind.","I have not changed my mind.","I have become more critical of the institution.","No","No","Yes","No","Yes","Yes","No","Very important","Very important","Very important","Very important","Give citizens and communities more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have not changed my mind","Some responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution and leave its mission as it is.","The US should leave this institution and build a new international institution to pursue this mission.","The US should stay in this institution and leave its mission as it is.","Democrat","College","Female","Income over $50k","White","Suburban","R_31uVpgJeJ9z8U0q",0.98310217,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,5,5,5,2,1,1,1,1,1,5,0,0,0,0,0,1,4,4,4,4,0,0,1,0,4,4,4,4,3,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"136","Under 45","1- Greatest benefit","1- Greatest benefit","1- Greatest benefit","1- Greatest benefit","Neither well nor poorly","Somewhat poorly","Somewhat well","Somewhat poorly","Somewhat poorly","Somewhat poorly","Far more attention","Far more attention","Far more attention","Far less attention","I have not changed my mind.","I have not changed my mind.","I have not changed my mind.","No","Yes","Yes","Yes","No","No","No","Very important","Very important","Very important","Very important","Give citizens and communities more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have not changed my mind","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","We should DECREASE international trade but INCREASE government spending in regions affected by international trade.","The US should leave this institution and pursue this mission on its own.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","Democrat","No College","Male","Income under $50k","Black or African American","Urban","R_33wBa4pgXIT7htT",1.79528028,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,5,5,5,3,2,4,2,2,2,1,0,0,0,0,0,0,4,4,4,4,0,0,1,0,4,4,4,4,4,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"137","Under 45","2-","2-","2-","2-","Neither well nor poorly",NA,NA,"Somewhat well",NA,NA,"Far more attention","Far more attention","Far more attention","Current level is about right","I have not changed my mind.","I have not changed my mind.","I have not changed my mind.","No","Yes","No","No","Yes","Yes","No","Very important","Very important","Very important","Very important","Give citizens and communities more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have not changed my mind","Some responsibility","Some responsibility","Some responsibility","Some responsibility","Some responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Democrat","No College","Female","Income under $50k","White","Suburban","R_3Gd0rsDdz73oxAD",1.76703486,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,5,5,5,3,NA,NA,4,NA,NA,3,0,0,0,0,0,0,4,4,4,4,0,0,1,0,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"138","Under 45","3-","3-","3-","3-","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Current level is about right","Slightly more attention","Slightly more attention","Current level is about right","I have not changed my mind.","I have not changed my mind.","I have not changed my mind.","Yes","No","Yes","No","No","Yes","No","Only a little important","Only a little important","Somewhat important","Somewhat important",NA,"I have not changed my mind","I have not changed my mind","I have not changed my mind","Some responsibility","Some responsibility","Some responsibility","Some responsibility","Some responsibility","We should DECREASE international trade but INCREASE government spending in regions affected by international trade.",NA,"The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","Democrat","No College","Female","Income under $50k","Black or African American","Urban","R_1f9OQCgSYNrrbOX",0.35439379,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,3,4,4,3,3,3,3,3,3,3,0,0,0,0,0,0,2,2,3,3,NA,NA,NA,NA,3,3,3,3,3,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"139","Under 45","1- Greatest benefit","2-","3-","4- Least benefit","Somewhat well","Somewhat well","Somewhat well","Very well","Neither well nor poorly","Very well","Current level is about right","Far less attention","Slightly more attention","Slightly more attention","I have not changed my mind.","I have not changed my mind.","I have not changed my mind.","No","No","No","No","Yes","Yes","Yes","Not at all important","Not at all important","Not at all important","Very important","Give national governments more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have not changed my mind","No responsibility","Some responsibility","Only a little responsibility","Some responsibility","Some responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","Democrat","No College","Female","Income under $50k","White","Rural","R_W1YB6oWy3igGi41",0.2907732,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,NA,3,1,4,4,4,4,5,3,5,4,0,0,0,0,0,0,1,1,1,4,1,0,0,0,3,2,3,3,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
