Movie ID,Title,Genres,Tite
151,Rob Roy (1995),Drama|Romance|War,Rob Roy (1995)
152,"Addiction, The (1995)",Horror,Addiction The (1995)
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever (1995)
154,Belle de jour (1967),Drama,Belle de jour (1967)
155,Beyond Rangoon (1995),Drama|War,Beyond Rangoon (1995)
156,Blue in the Face (1995),Comedy,Blue in the Face (1995)
157,Canadian Bacon (1994),Comedy|War,Canadian Bacon (1994)
158,Casper (1995),Adventure|Children's,Casper (1995)
159,Clockers (1995),Drama,Clockers (1995)
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo (1995)
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide (1995)
162,Crumb (1994),Documentary,Crumb (1994)
163,Desperado (1995),Action|Romance|Thriller,Desperado (1995)
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress (1995)
165,Die Hard: With a Vengeance (1995),Action|Thriller,Die Hard: With a Vengeance (1995)
166,"Doom Generation, The (1995)",Comedy|Drama,Doom Generation The (1995)
167,Feast of July (1995),Drama,Feast of July (1995)
168,First Knight (1995),Action|Adventure|Drama|Romance,First Knight (1995)
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,Free Willy 2: The Adventure Home (1995)
170,Hackers (1995),Action|Crime|Thriller,Hackers (1995)
171,Jeffrey (1995),Comedy,Jeffrey (1995)
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic (1995)
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,Judge Dredd (1995)
174,Jury Duty (1995),Comedy,Jury Duty (1995)
175,Kids (1995),Drama,Kids (1995)
176,Living in Oblivion (1995),Comedy,Living in Oblivion (1995)
177,Lord of Illusions (1995),Horror,Lord of Illusions (1995)
178,Love & Human Remains (1993),Comedy,Love & Human Remains (1993)
179,Mad Love (1995),Drama|Romance,Mad Love (1995)
180,Mallrats (1995),Comedy,Mallrats (1995)
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,Mighty Morphin Power Rangers: The Movie (1995)
182,Moonlight and Valentino (1995),Drama|Romance,Moonlight and Valentino (1995)
183,Mute Witness (1994),Thriller,Mute Witness (1994)
184,Nadja (1994),Drama,Nadja (1994)
185,"Net, The (1995)",Sci-Fi|Thriller,Net The (1995)
186,Nine Months (1995),Comedy,Nine Months (1995)
187,Party Girl (1995),Comedy,Party Girl (1995)
188,"Prophecy, The (1995)",Horror,Prophecy The (1995)
189,Reckless (1995),Comedy,Reckless (1995)
190,Safe (1995),Thriller,Safe (1995)
191,"Scarlet Letter, The (1995)",Drama,Scarlet Letter The (1995)
192,"Show, The (1995)",Documentary,Show The (1995)
193,Showgirls (1995),Drama,Showgirls (1995)
194,Smoke (1995),Drama,Smoke (1995)
195,Something to Talk About (1995),Comedy|Drama|Romance,Something to Talk About (1995)
196,Species (1995),Horror|Sci-Fi,Species (1995)
197,"Stars Fell on Henrietta, The (1995)",Drama,Stars Fell on Henrietta The (1995)
198,Strange Days (1995),Action|Crime|Sci-Fi,Strange Days (1995)
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,Umbrellas of Cherbourg The (Parapluies de Cherbourg Les) (1964)
200,"Tie That Binds, The (1995)",Thriller,Tie That Binds The (1995)
201,Three Wishes (1995),Drama,Three Wishes (1995)
202,Total Eclipse (1995),Drama|Romance,Total Eclipse (1995)
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,To Wong Foo Thanks for Everything! Julie Newmar (1995)
204,Under Siege 2: Dark Territory (1995),Action,Under Siege 2: Dark Territory (1995)
205,Unstrung Heroes (1995),Comedy|Drama,Unstrung Heroes (1995)
206,Unzipped (1995),Documentary,Unzipped (1995)
207,"Walk in the Clouds, A (1995)",Drama|Romance,Walk in the Clouds A (1995)
208,Waterworld (1995),Action|Adventure,Waterworld (1995)
209,White Man's Burden (1995),Drama,White Man's Burden (1995)
210,Wild Bill (1995),Western,Wild Bill (1995)
211,"Browning Version, The (1994)",Drama,Browning Version The (1994)
212,Bushwhacked (1995),Comedy,Bushwhacked (1995)
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,Burnt By the Sun (Utomlyonnye solntsem) (1994)
214,Before the Rain (Pred dozhdot) (1994),Drama,Before the Rain (Pred dozhdot) (1994)
215,Before Sunrise (1995),Drama|Romance,Before Sunrise (1995)
216,Billy Madison (1995),Comedy,Billy Madison (1995)
217,"Babysitter, The (1995)",Drama|Thriller,Babysitter The (1995)
218,Boys on the Side (1995),Comedy|Drama,Boys on the Side (1995)
219,"Cure, The (1995)",Drama,Cure The (1995)
220,Castle Freak (1995),Horror,Castle Freak (1995)
222,Circle of Friends (1995),Drama|Romance,Circle of Friends (1995)
223,Clerks (1994),Comedy,Clerks (1994)
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Don Juan DeMarco (1995)
225,Disclosure (1994),Drama|Thriller,Disclosure (1994)
226,Dream Man (1995),Thriller,Dream Man (1995)
227,Drop Zone (1994),Action,Drop Zone (1994)
228,Destiny Turns on the Radio (1995),Comedy,Destiny Turns on the Radio (1995)
229,Death and the Maiden (1994),Drama|Thriller,Death and the Maiden (1994)
230,Dolores Claiborne (1994),Drama|Thriller,Dolores Claiborne (1994)
231,Dumb & Dumber (1994),Comedy,Dumb & Dumber (1994)
232,Eat Drink Man Woman (1994),Comedy|Drama,Eat Drink Man Woman (1994)
233,Exotica (1994),Drama,Exotica (1994)
234,Exit to Eden (1994),Comedy,Exit to Eden (1994)
235,Ed Wood (1994),Comedy|Drama,Ed Wood (1994)
236,French Kiss (1995),Comedy|Romance,French Kiss (1995)
237,Forget Paris (1995),Comedy|Romance,Forget Paris (1995)
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,Far From Home: The Adventures of Yellow Dog (1995)
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,Goofy Movie A (1995)
240,Hideaway (1995),Thriller,Hideaway (1995)
241,Fluke (1995),Children's|Drama,Fluke (1995)
242,Farinelli: il castrato (1994),Drama|Musical,Farinelli: il castrato (1994)
243,Gordy (1995),Comedy,Gordy (1995)
244,Gumby: The Movie (1995),Animation|Children's,Gumby: The Movie (1995)
245,"Glass Shield, The (1994)",Crime|Drama,Glass Shield The (1994)
246,Hoop Dreams (1994),Documentary,Hoop Dreams (1994)
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,Heavenly Creatures (1994)
248,Houseguest (1994),Comedy,Houseguest (1994)
249,Immortal Beloved (1994),Drama|Romance,Immortal Beloved (1994)
250,Heavyweights (1994),Children's|Comedy,Heavyweights (1994)
251,"Hunted, The (1995)",Action,Hunted The (1995)
252,I.Q. (1994),Comedy|Romance,I.Q. (1994)
253,Interview with the Vampire (1994),Drama|Horror,Interview with the Vampire (1994)
254,Jefferson in Paris (1995),Drama,Jefferson in Paris (1995)
255,"Jerky Boys, The (1994)",Comedy,Jerky Boys The (1994)
256,Junior (1994),Comedy|Sci-Fi,Junior (1994)
257,Just Cause (1995),Mystery|Thriller,Just Cause (1995)
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,Kid in King Arthur's Court A (1995)
259,Kiss of Death (1995),Crime|Drama|Thriller,Kiss of Death (1995)
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode IV - A New Hope (1977)
261,Little Women (1994),Drama,Little Women (1994)
262,"Little Princess, A (1995)",Children's|Drama,Little Princess A (1995)
263,Ladybird Ladybird (1994),Drama,Ladybird Ladybird (1994)
264,"Enfer, L' (1994)",Drama,Enfer L' (1994)
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,Like Water for Chocolate (Como agua para chocolate) (1992)
266,Legends of the Fall (1994),Drama|Romance|War|Western,Legends of the Fall (1994)
267,Major Payne (1994),Comedy,Major Payne (1994)
268,Little Odessa (1994),Drama,Little Odessa (1994)
269,My Crazy Life (Mi vida loca) (1993),Drama,My Crazy Life (Mi vida loca) (1993)
270,Love Affair (1994),Drama|Romance,Love Affair (1994)
271,Losing Isaiah (1995),Drama,Losing Isaiah (1995)
272,"Madness of King George, The (1994)",Drama,Madness of King George The (1994)
273,Mary Shelley's Frankenstein (1994),Drama|Horror,Mary Shelley's Frankenstein (1994)
274,Man of the House (1995),Comedy,Man of the House (1995)
275,Mixed Nuts (1994),Comedy,Mixed Nuts (1994)
276,Milk Money (1994),Comedy|Romance,Milk Money (1994)
277,Miracle on 34th Street (1994),Drama,Miracle on 34th Street (1994)
278,Miami Rhapsody (1995),Comedy,Miami Rhapsody (1995)
279,My Family (1995),Drama,My Family (1995)
280,Murder in the First (1995),Drama|Thriller,Murder in the First (1995)
281,Nobody's Fool (1994),Drama,Nobody's Fool (1994)
282,Nell (1994),Drama,Nell (1994)
283,New Jersey Drive (1995),Crime|Drama,New Jersey Drive (1995)
284,New York Cop (1996),Action|Crime,New York Cop (1996)
285,Beyond Bedlam (1993),Drama|Horror,Beyond Bedlam (1993)
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,Nemesis 2: Nebula (1995)
287,Nina Takes a Lover (1994),Comedy|Romance,Nina Takes a Lover (1994)
288,Natural Born Killers (1994),Action|Thriller,Natural Born Killers (1994)
289,Only You (1994),Comedy|Romance,Only You (1994)
290,Once Were Warriors (1994),Crime|Drama,Once Were Warriors (1994)
291,Poison Ivy II (1995),Thriller,Poison Ivy II (1995)
292,Outbreak (1995),Action|Drama|Thriller,Outbreak (1995)
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,Professional The (a.k.a. Leon: The Professional) (1994)
294,"Perez Family, The (1995)",Comedy|Romance,Perez Family The (1995)
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,Pyromaniac's Love Story A (1995)
296,Pulp Fiction (1994),Crime|Drama,Pulp Fiction (1994)
297,Panther (1995),Drama,Panther (1995)
298,Pushing Hands (1992),Comedy,Pushing Hands (1992)
299,Priest (1994),Drama,Priest (1994)
300,Quiz Show (1994),Drama,Quiz Show (1994)
301,Picture Bride (1995),Drama|Romance,Picture Bride (1995)
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,Queen Margot (La Reine Margot) (1994)
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,Quick and the Dead The (1995)
304,Roommates (1995),Comedy|Drama,Roommates (1995)
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Ready to Wear (Pret-A-Porter) (1994)
306,Three Colors: Red (1994),Drama,Three Colors: Red (1994)
307,Three Colors: Blue (1993),Drama,Three Colors: Blue (1993)
308,Three Colors: White (1994),Drama,Three Colors: White (1994)
309,"Red Firecracker, Green Firecracker (1994)",Drama,Red Firecracker Green Firecracker (1994)
310,Rent-a-Kid (1995),Comedy,Rent-a-Kid (1995)
311,Relative Fear (1994),Horror|Thriller,Relative Fear (1994)
312,Stuart Saves His Family (1995),Comedy,Stuart Saves His Family (1995)
313,"Swan Princess, The (1994)",Animation|Children's,Swan Princess The (1994)
314,"Secret of Roan Inish, The (1994)",Drama,Secret of Roan Inish The (1994)
315,"Specialist, The (1994)",Action,Specialist The (1994)
316,Stargate (1994),Action|Adventure|Sci-Fi,Stargate (1994)
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,Santa Clause The (1994)
318,"Shawshank Redemption, The (1994)",Drama,Shawshank Redemption The (1994)
319,Shallow Grave (1994),Thriller,Shallow Grave (1994)
320,Suture (1993),Film-Noir|Thriller,Suture (1993)
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Strawberry and Chocolate (Fresa y chocolate) (1993)
322,Swimming with Sharks (1995),Comedy|Drama,Swimming with Sharks (1995)
324,"Sum of Us, The (1994)",Comedy,Sum of Us The (1994)
325,National Lampoon's Senior Trip (1995),Comedy,National Lampoon's Senior Trip (1995)
326,To Live (Huozhe) (1994),Drama,To Live (Huozhe) (1994)
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,Tank Girl (1995)
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,Tales From the Crypt Presents: Demon Knight (1995)
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,Star Trek: Generations (1994)
330,Tales from the Hood (1995),Comedy|Horror,Tales from the Hood (1995)
331,Tom & Viv (1994),Drama,Tom & Viv (1994)
332,Village of the Damned (1995),Horror|Sci-Fi,Village of the Damned (1995)
333,Tommy Boy (1995),Comedy,Tommy Boy (1995)
334,Vanya on 42nd Street (1994),Drama,Vanya on 42nd Street (1994)
335,"Underneath, The (1995)",Mystery|Thriller,Underneath The (1995)
336,"Walking Dead, The (1995)",Drama|War,Walking Dead The (1995)
337,What's Eating Gilbert Grape (1993),Drama,What's Eating Gilbert Grape (1993)
338,Virtuosity (1995),Sci-Fi|Thriller,Virtuosity (1995)
339,While You Were Sleeping (1995),Comedy|Romance,While You Were Sleeping (1995)
340,"War, The (1994)",Adventure|Drama,War The (1994)
341,Double Happiness (1994),Drama,Double Happiness (1994)
342,Muriel's Wedding (1994),Comedy|Romance,Muriel's Wedding (1994)
343,"Baby-Sitters Club, The (1995)",Children's,Baby-Sitters Club The (1995)
344,Ace Ventura: Pet Detective (1994),Comedy,Ace Ventura: Pet Detective (1994)
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,Adventures of Priscilla Queen of the Desert The (1994)
346,Backbeat (1993),Drama|Musical,Backbeat (1993)
347,Bitter Moon (1992),Drama,Bitter Moon (1992)
348,Bullets Over Broadway (1994),Comedy,Bullets Over Broadway (1994)
349,Clear and Present Danger (1994),Action|Adventure|Thriller,Clear and Present Danger (1994)
350,"Client, The (1994)",Drama|Mystery|Thriller,Client The (1994)
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,Corrina Corrina (1994)
352,Crooklyn (1994),Comedy,Crooklyn (1994)
353,"Crow, The (1994)",Action|Romance|Thriller,Crow The (1994)
354,Cobb (1994),Drama,Cobb (1994)
355,"Flintstones, The (1994)",Children's|Comedy,Flintstones The (1994)
356,Forrest Gump (1994),Comedy|Romance|War,Forrest Gump (1994)
357,Four Weddings and a Funeral (1994),Comedy|Romance,Four Weddings and a Funeral (1994)
358,Higher Learning (1995),Drama,Higher Learning (1995)
359,I Like It Like That (1994),Comedy|Drama|Romance,I Like It Like That (1994)
360,I Love Trouble (1994),Action|Comedy,I Love Trouble (1994)
361,It Could Happen to You (1994),Drama|Romance,It Could Happen to You (1994)
362,"Jungle Book, The (1994)",Adventure|Children's|Romance,Jungle Book The (1994)
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,Wonderful Horrible Life of Leni Riefenstahl The (Die Macht der Bilder) (1993)
364,"Lion King, The (1994)",Animation|Children's|Musical,Lion King The (1994)
365,Little Buddha (1993),Drama,Little Buddha (1993)
366,Wes Craven's New Nightmare (1994),Horror,Wes Craven's New Nightmare (1994)
367,"Mask, The (1994)",Comedy|Crime|Fantasy,Mask The (1994)
368,Maverick (1994),Action|Comedy|Western,Maverick (1994)
369,Mrs. Parker and the Vicious Circle (1994),Drama,Mrs. Parker and the Vicious Circle (1994)
370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,Naked Gun 33 1/3: The Final Insult (1994)
371,"Paper, The (1994)",Comedy|Drama,Paper The (1994)
372,Reality Bites (1994),Comedy|Drama,Reality Bites (1994)
373,Red Rock West (1992),Thriller,Red Rock West (1992)
374,Richie Rich (1994),Children's|Comedy,Richie Rich (1994)
375,Safe Passage (1994),Drama,Safe Passage (1994)
376,"River Wild, The (1994)",Action|Thriller,River Wild The (1994)
377,Speed (1994),Action|Romance|Thriller,Speed (1994)
378,Speechless (1994),Comedy|Romance,Speechless (1994)
379,Timecop (1994),Action|Sci-Fi,Timecop (1994)
380,True Lies (1994),Action|Adventure|Comedy|Romance,True Lies (1994)
381,When a Man Loves a Woman (1994),Drama,When a Man Loves a Woman (1994)
382,Wolf (1994),Drama|Horror,Wolf (1994)
383,Wyatt Earp (1994),Western,Wyatt Earp (1994)
384,Bad Company (1995),Action,Bad Company (1995)
385,"Man of No Importance, A (1994)",Drama,Man of No Importance A (1994)
386,S.F.W. (1994),Drama,S.F.W. (1994)
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,Low Down Dirty Shame A (1994)
388,Boys Life (1995),Drama,Boys Life (1995)
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Colonel Chabert Le (1994)
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,Faster Pussycat! Kill! Kill! (1965)
391,Jason's Lyric (1994),Crime|Drama,Jason's Lyric (1994)
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,Secret Adventures of Tom Thumb The (1993)
393,Street Fighter (1994),Action,Street Fighter (1994)
394,Coldblooded (1995),Action,Coldblooded (1995)
395,Desert Winds (1995),Drama,Desert Winds (1995)
396,Fall Time (1995),Drama,Fall Time (1995)
397,"Fear, The (1995)",Horror,Fear The (1995)
398,Frank and Ollie (1995),Documentary,Frank and Ollie (1995)
399,Girl in the Cadillac (1995),Drama,Girl in the Cadillac (1995)
400,Homage (1995),Drama,Homage (1995)
